ID Raw,ID,Name Raw,Name,Description Raw,Description,Sort ID Raw,Sort ID,Type Raw,Type,Item Group Raw,Item Group,Text Type Raw,Text Type,Icon Type Raw,Icon Type,Icon,Equip Icon Raw,Equip Icon,Icon Colour Raw,Icon Colour,Add Icon Type Raw,Add Icon Type,Rarity Raw,Rarity,Max Count Raw,Max Count,Palico Max Raw,Palico Max,Enable On Raptor Raw,Enable On Raptor,Sell Price Raw,Sell Price,Buy Price Raw,Buy Price,Fix Raw,Fixed,Shikyu Raw,Shikyu,Eatable Raw,Eatable,Window Raw,Window,Infinit Raw,Infinite,Heal Raw,Heal,Battle Raw,Battle,Special Raw,Special,For money Raw,For Money,Out Box Raw,Out Box,Non Level Shell Raw,Non Level Shell,Column 30,Column 31,Get Rank 1 Raw,Get Rank 2 Raw,Get Rank 1,Get Rank 2,Column 34,Column 64
0000000B,11,E1B45DFD-DDB1-4D11-A3B1-06A7F0E9838A,Burnt Meat,BC53DE0A-C5F0-41AF-92C8-264720CB5884,"Restores stamina, but it may
be a bit too charred to provide
any healing effects...",00000007,7,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,0000000F,ITEM_0014,,00000000,INVALID,00000002,I_GRAY,00000000,INVALID,00000012,1,000A,10,000A,10,00000001,TRUE,00000001,1z,0000000A,10z,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000001F,31
0000000C,12,121B121F-0315-4B03-BBCD-A7A27CC5D999,Lifepowder,3A2DD110-EEFD-4974-B74D-2E355810BF48,"Produces a cloud that heals
you and anyone nearby.",0000001B,27,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,0000000B,ITEM_0010,,00000000,INVALID,00000009,I_IVORY,00000000,INVALID,0000000F,4,0003,3,0003,3,00000001,TRUE,000000BE,190z,000001E0,480z,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000040,64
0000000D,13,B44C1FBA-3F2A-4022-A6BC-29BE8B077E86,Raw Meat,9D6D7370-6BB0-445F-85EF-BAC00CDC40D5,"Meat carved from a monster.
Can be cooked, combined, 
or used to set a trap.",0000003C,60,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,0000000F,ITEM_0014,,00000000,INVALID,00000005,I_RED,00000000,INVALID,00000012,1,000A,10,000A,10,00000000,FALSE,00000005,5z,00000032,50z,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000046,70
0000000E,14,ADD0E312-6927-41C6-9F90-05B5467F0A1A,Barrel Bomb,9658F015-2372-4921-BE9E-96DDE207D1CE,A small time bomb.,00000042,66,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,00000011,ITEM_0016,,00000000,INVALID,0000000A,I_YELLOW,00000000,INVALID,00000011,2,000A,10,000A,10,00000000,FALSE,00000010,16z,0000009C,156z,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000048,72
0000000F,15,B35B3C29-B8A0-4B6F-AA64-7206F981B0DA,Large Barrel Bomb,378C0E50-0E54-40D9-9CA6-1F6B0D256250,"A bomb that can be rolled after
placing it on the ground. Strike
it to trigger a powerful blast.",00000044,68,00000000,EXPENDABLE,00000002,TYPE_00,00000001,TYPE_00,00000011,ITEM_0016,,00000000,INVALID,00000006,I_VERMILION,00000000,INVALID,00000010,3,0002,2,0002,2,00000000,FALSE,00000034,52z,00000206,518z,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000051,81
00000010,16,C2D6DCC7-971A-4029-AAC0-0CE6D38A2FB3,Flash Pod,6EBE5DEA-F658-460B-A4D2-0565003DE3EA,"Slinger ammo that causes a violent
flash on impact. Will temporarily blind
monsters if used in front of them.",0000004D,77,00000000,EXPENDABLE,00000000,INVALID,00000002,TYPE_01,0000003E,ITEM_0061,,00000000,INVALID,0000000A,I_YELLOW,00000000,INVALID,00000011,2,0003,3,0003,3,00000001,TRUE,00000039,57z,0000023C,572z,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,000000B8,184
00000011,17,B0D38AE7-DD58-4D02-9F1E-D3174B30F385,Stone,68E40B71-FA44-4F83-B8EF-73F7678016E9,"Slinger ammo that can be used to
hit faraway plant life and bombs.",000002D9,729,00000000,EXPENDABLE,00000000,INVALID,00000002,TYPE_01,0000003E,ITEM_0061,,00000000,INVALID,00000002,I_GRAY,00000000,INVALID,00000012,1,0014,20,0014,20,00000001,TRUE,00000000,0z,00000000,0z,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000009A,154
00000012,18,DD401BF7-951A-4D0E-AC1F-99AB14C2811A,Capture Net,48A481B0-BB7C-468E-B6E3-25F71E96B846,"A net that can be fired from your
Slinger. Use it to capture small
creatures.",000002BE,702,00000001,TOOL,00000000,INVALID,00000004,TYPE_03,0000003F,ITEM_0062,,00000000,INVALID,00000001,I_WHITE,00000000,INVALID,0000000F,4,0001,1,0001,1,00000001,TRUE,00000000,0z,00000000,0z,01,TRUE,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000004D,77
00000013,19,56C19861-03FF-406B-A78A-72E1C4F27A1C,Pitfall Trap,0386ACFC-30E4-4F2C-A53F-4BF38B82ABD6,"A trap for catching large monsters.
It is tripped by heavy weight.",00000049,73,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,00000013,ITEM_0018,,00000000,INVALID,0000000D,I_MOS,00000000,INVALID,00000010,3,0001,1,0001,1,00000000,FALSE,000000C8,200z,00000190,400z,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000004E,78
00000014,20,FD4349EA-585C-4C99-847B-3BB2D14D5CCF,Shock Trap,EBBF7D1F-F779-432C-8941-2C71E66844B0,"A trap that immobilizes a target.
Use it to capture monsters.",0000004A,74,00000000,EXPENDABLE,00000000,INVALID,00000001,TYPE_00,00000013,ITEM_0018,,00000000,INVALID,0000000B,I_LEMON,00000000,INVALID,00000010,3,0001,1,0001,1,00000000,FALSE,000000A0,160z,00000140,320z,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000003,3
00000015,21,AA131F32-3D4F-4A72-B3FA-1DB2F382FCAA,Whetstone,E9DBC3AD-B676-4564-8AEE-092302CCB580,"A standard-sized whetstone. Use it
to restore a weapon's sharpness.",00000001,1,00000001,TOOL,00000000,INVALID,00000004,TYPE_03,0000000C,ITEM_0011,,00000000,INVALID,0000000A,I_YELLOW,00000000,INVALID,0000000F,4,0001,1,0001,1,00000001,TRUE,00000000,0z,00000000,0z,01,TRUE,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000099,153
00000017,23,EEBC9FF9-4EEF-4386-9FF8-176B3D952232,Binoculars,010DB7B4-0502-485A-99D1-5E9F047641BD,"A tool that magnifies distant
objects and lets you learn more
about them.",000002BE,702,00000001,TOOL,00000000,INVALID,00000004,TYPE_03,00000019,ITEM_0024,,00000000,INVALID,00000001,I_WHITE,00000000,INVALID,0000000F,4,0001,1,0001,1,00000000,FALSE,00000000,0z,00000000,0z,01,TRUE,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000096,150
00000018,24,DD27559E-5B5B-45BF-A42E-CBD88DCE3584,Camping Kit,220CED37-CA72-4898-8B9B-BA0B0ABE0EDB,"A kit with all the tools to make
camp. Use to set up and edit Pop-up
Camps in available campsites.",000002BD,701,00000001,TOOL,00000000,INVALID,00000004,TYPE_03,0000003D,ITEM_0060,,00000000,INVALID,00000001,I_WHITE,00000000,INVALID,0000000F,4,0001,1,0001,1,00000001,TRUE,00000000,0z,00000000,0z,01,TRUE,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000097,151
00000019,25,863BC3DB-D7C7-4D9E-9C59-AAAB83BF36CA,Portable BBQ Grill,10BC6D23-EA7A-438D-9C0B-2AFD6A5808A0,"A portable BBQ grill that can be
used for grilling up raw meat and
other ingredients.",000002BD,701,00000001,TOOL,00000000,INVALID,00000004,TYPE_03,0000001B,ITEM_0026,,00000000,INVALID,00000005,I_RED,00000000,INVALID,0000000F,4,0001,1,0001,1,00000001,TRUE,00000000,0z,00000000,0z,01,TRUE,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000028,40
0000001A,26,D467736A-C532-43AB-B459-65728B01EF2F,Herb,46BC1D58-5464-4D2F-8A46-28B666DB36A3,A primary ingredient in potions.,00000024,36,00000000,EXPENDABLE,00000000,INVALID,00000005,TYPE_04,00000009,ITEM_0008,,00000000,INVALID,0000000E,I_GREEN,00000000,INVALID,00000012,1,000A,10,000A,10,00000000,FALSE,00000002,2z,00000014,20z,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000029,41
0000001B,27,73E36E4A-2AB1-492F-9789-1DAB22AC42B2,Antidote Herb,DA256C61-9417-4D5A-8F0E-091788B26EE9,"A primary ingredient in
antidotes.",00000025,37,00000000,EXPENDABLE,00000000,INVALID,00000005,TYPE_04,00000009,ITEM_0008,,00000000,INVALID,00000011,I_BLUE,00000000,INVALID,00000012,1,000A,10,000A,10,00000000,FALSE,00000002,2z,00000014,20z,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000027,39
0000001C,28,DC29C833-918C-4D55-970E-66E8455066B2,Honey,2557558A-2A58-4A5A-9647-52FB17B5551E,"Highly nutritious honey.
Combine with potions to make
the more potent mega potion.",00000023,35,00000000,EXPENDABLE,00000000,INVALID,00000005,TYPE_04,00000008,ITEM_0007,,00000000,INVALID,00000007,I_ORANGE,00000000,INVALID,00000011,2,000A,10,000A,10,00000000,FALSE,0000002D,45z,0000005A,90z,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000005B,91
0000001D,29,67D3D7DA-64E7-47CD-B641-F0AF80FFEB7B,Bitterbug Broth,C2FF59B5-B7A4-41A1-8D74-EA9A316B85A5,"Bitterbug essence that has
innate healing abilities. Used as
a component in many medicines.",00000057,87,00000000,EXPENDABLE,00000000,INVALID,00000005,TYPE_04,00000049,ITEM_0072,,00000000,INVALID,00000011,I_BLUE,00000000,INVALID,00000012,1,000A,10,000A,10,00000000,FALSE,00000002,2z,00000014,20z,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000005C,92
0000001E,30,CB2A4561-860E-41C1-9DCC-DF9E6715B3A8,Flashbug Phosphor,2106451F-76E0-4806-9999-0CF171862D35,"Luminous essence from an insect
that emits a powerful flash when
it dies. Used to craft flash pods.",00000058,88,00000000,EXPENDABLE,00000000,INVALID,00000005,TYPE_04,00000049,ITEM_0072,,00000000,INVALID,0000000A,I_YELLOW,00000000,INVALID,00000011,2,000A,10,000A,10,00000000,FALSE,00000030,48z,00000060,96z,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000005D,93
0000001F,31,CACA45B2-50A6-46E0-B96B-169747D01A26,Godbug Essence,5778C1CF-6C38-4A1D-BC6F-A0C0E9EC6922,"Essence from an insect said to
live a millennium. Combine it with
other items to add their properties.",00000059,89,00000000,EXPENDABLE,00000000,INVALID,00000005,TYPE_04,00000049,ITEM_0072,,00000000,INVALID,00000001,I_WHITE,00000000,INVALID,0000000F,4,000A,10,000A,10,00000000,FALSE,00000078,120z,00000140,320z,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000005E,94
00000020,32,128FC163-2978-4399-AD47-CF21D7CFD2D4,Thunderbug Capacitor,D8CDB844-3C89-483D-B755-3E1CED00E848,"Substance from an insect that emits
electricity when struck. Required to
craft Shock Traps and Thunder Ammo.",0000005A,90,00000000,EXPENDABLE,00000000,INVALID,00000005,TYPE_04,00000049,ITEM_0072,,00000000,INVALID,0000000B,I_LEMON,00000000,INVALID,0000000F,4,000A,10,000A,10,00000000,FALSE,00000050,80z,0000012C,300z,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000014A,330
00000021,33,8B33B49F-2C70-4F11-A7AB-699AABAD4745,Doshaguma Hide,82768F05-DD1F-43FF-9019-A9B7DFC04FB3,"A Doshaguma hide. The numerous
scars on its body are proof of
its beastly, aggressive nature.",0000046C,1132,00000002,MATERIAL,00000000,INVALID,00000006,TYPE_05,0000002C,ITEM_0043,,00000000,INVALID,00000008,I_BROWN,00000000,INVALID,0000000F,4,0063,99,0063,99,00000000,FALSE,0000023A,570z,00001644,"5,700z",00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000149,329
00000022,34,99D9C79A-6084-47E2-A5F1-8D08DA45A463,Doshaguma Fur,C5D1D81F-0F5F-40FC-BC03-5D55F64DB053,"Doshaguma fur. It makes a durable
crafting material thanks to its
stiff, bristly texture.",0000046B,1131,00000002,MATERIAL,00000000,INVALID,00000006,TYPE_05,0000002C,ITEM_0043,,00000000,INVALID,00000008,I_BROWN,00000000,INVALID,0000000F,4,0063,99,0063,99,00000000,FALSE,0000017C,380z,00000ED8,"3,800z",00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000014B,331
00000023,35,8719A4C9-37F2-4E07-B59B-9EF66D53FF91,Doshaguma Claw,AFF6F9FB-818E-4EFB-9D7D-9F90AFD55573,"A Doshaguma claw. Sharp as it is
tough, it can cut through muscled
prey without a single chip.",0000046D,1133,00000002,MATERIAL,00000000,INVALID,00000006,TYPE_05,0000002D,ITEM_0044,,00000000,INVALID,00000008,I_BROWN,00000000,INVALID,0000000F,4,0063,99,0063,99,00000000,FALSE,000002AC,684z,00001AB8,"6,840z",00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000014C,332
00000024,36,D0286D3C-9C71-40F2-AA25-7CD78786551C,Doshaguma Fang,EBD2AE18-DBFB-430B-98C7-B80936A6E50C,"A Doshaguma fang. They grow
large and sharp so they can
pierce their prey with ease.",0000046E,1134,00000002,MATERIAL,00000000,INVALID,00000006,TYPE_05,0000002D,ITEM_0044,,00000000,INVALID,00000008,I_BROWN,00000000,INVALID,0000000F,4,0063,99,0063,99,00000000,FALSE,00000344,836z,000020A8,"8,360z",00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,000000F0,240
00000025,37,D14AA01E-91D3-4EB1-B7BD-685C4B25EDED,Beast Gem,6C7DF06F-CDD7-4F5D-BB3F-53D816B0C20E,"A valuable jewel formed from
coagulated juices inside a
monster. Glows wildly.",00000412,1042,00000002,MATERIAL,00000000,INVALID,00000006,TYPE_05,00000014,ITEM_0019,,00000000,INVALID,00000007,I_ORANGE,00000000,INVALID,0000000C,7,000A,10,0063,99,00000000,FALSE,00000FA0,"4,000z",00009C40,"40,000z",00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000002,00000002,RARE,RARE,0000006C,108
00000026,38,B281BD0A-DDB8-453D-9E57-8A2E8D98BA61,Normal Ammo,B05D0046-A38E-4EB1-AFD3-8A23A42EF7F1,"Standard ammo. Fires multiple
shots with each pull of the trigger.
Unlimited capacity.",00000068,104,00000003,SHELL,00000000,INVALID,00000007,TYPE_06,00000021,ITEM_0032,,00000000,INVALID,00000001,I_WHITE,00000000,INVALID,00000012,1,0063,99,0063,99,00000001,TRUE,00000000,0z,00000000,0z,00,FALSE,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000006D,109
00000027,39,ED9417B3-AA91-409B-97AD-913864E2C02B,Pierce Ammo,984B94BB-D78C-4021-9BF7-2B2A1C9CE0AF,"Armor-piercing ammo. Depending
on the monster, it can deal multiple
hits. Unlimited capacity.",00000069,105,00000003,SHELL,00000000,INVALID,00000007,TYPE_06,00000044,ITEM_0067,,00000000,INVALID,00000011,I_BLUE,00000000,INVALID,00000012,1,0063,99,0063,99,00000001,TRUE,00000000,0z,00000000,0z,00,FALSE,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000006E,110
00000028,40,9E8E12D7-AB23-4AEC-9E29-BAE0EC4A5DA7,Spread Ammo,A96CA10C-E4FF-4007-9643-5DC70748E4F9,"Ammo made for close combat.
Short range but high power.
Unlimited capacity.",0000006A,106,00000003,SHELL,00000000,INVALID,00000007,TYPE_06,00000043,ITEM_0066,,00000000,INVALID,0000000D,I_MOS,00000000,INVALID,00000012,1,0063,99,0063,99,00000001,TRUE,00000000,0z,00000000,0z,00,FALSE,00,FALSE,00,FALSE,01,TRUE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,0000006F,111
00000029,41,8449C55D-9FC0-46C6-A0E0-9B282E27C97D,Sticky Ammo,28AE7A3E-485B-4FA0-88BD-7DF7F890EA68,"Powerful ammo that lodges
in a target and explodes.
Headshots stun.",0000006B,107,00000003,SHELL,00000000,INVALID,00000007,TYPE_06,00000045,ITEM_0068,,00000000,INVALID,00000006,I_VERMILION,00000000,INVALID,00000012,1,0009,9,0009,9,00000001,TRUE,00000002,2z,0000000C,12z,00,FALSE,00,FALSE,00,FALSE,01,TRUE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,FALSE,00,00000002,00000000,00000000,NONE,NONE,00000070,112
