Index Raw,Index,Type Raw,Model ID Raw,Model ID,Custom Model ID Raw,DB ID Raw,LS ID Raw,Hammer ID Raw,HH ID Raw,Lance ID Raw,GL ID Raw,SA ID Raw,CA ID Raw,IG ID Raw,Bow ID Raw,HBG ID Raw,LBG ID Raw,ID,Name Raw,Name,Description Raw,Sort ID Raw,Sort ID,Price Raw,Price,Rarity Raw,Rarity,Attack Raw,Attack,Defense Raw,Defense,Affinity Raw,Affinity,Element 1 Raw,Attribute,Element 1 Value Raw,Attribute Value,Element 2 Raw,Element 2 Value Raw,Slot 1 Raw,Slot 2 Raw,Slot 3 Raw,Slots,Sharpness 0 Raw,Sharpness 1 Raw,Sharpness 2 Raw,Sharpness 3 Raw,Sharpness 4 Raw,Sharpness 5 Raw,Sharpness 6 Raw,Sharpness 7 Raw,Red Sharpness,Orange Sharpness,Yellow Sharpness,Green Sharpness,Blue Sharpness,White Sharpness,Purple Sharpness,Handicraft 0 Raw,Handicraft 0 Lv,Handicraft 1 Raw,Handicraft 1 Lv,Handicraft 2 Raw,Handicraft 2 Lv,Handicraft 3 Raw,Handicraft 3 Lv,Red Sharpness +1,Orange Sharpness +1,Yellow Sharpness +1,Green Sharpness +1,Blue Sharpness +1,White Sharpness +1,Purple Sharpness +1,Sharpness Bar,Sharpness Bar (Handicraft),Wp07 Shell Type Raw,Gunlance Shell Type,Wp07 Shell Lv Raw,Gunlance Shell Level,Skill 0 Raw,Skill 1 Raw,Skill 2 Raw,Skill 3 Raw,Skill 0 Lv Raw,Skill 1 Lv Raw,Skill 2 Lv Raw,Skill 3 Lv Raw,Skill 1,Skill 1 Lv,Skill 2,Skill 2 Lv
0000000B,11,00000007,00002712,10002,00000000,00000000,00000000,00000000,00000000,00000000,0000000B,00000000,00000000,00000000,00000000,00000000,00000000,11,6100A95D-3B19-424F-B027-A726C7F199FC,Triple Bayonet I,EDD5A387-E09C-491C-A301-F5F56EF574F5,00000009,9,00000320,800z,00000011,2,0078,120,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0014,0028,005A,0032,0000,0000,0000,0000,20,40,90,50,0,0,0,0032,4,0000,5,0000,6,0000,7,20,40,90,50,0,0,0,,,0C1DB680,LONG,C4C4D080,2,9C370B80,00000000,00000000,00000000,0001,0000,0000,0000,Guard Up,1,,
0000000C,12,00000007,00002712,10002,00000000,00000000,00000000,00000000,00000000,00000000,0000000C,00000000,00000000,00000000,00000000,00000000,00000000,12,2CEEABF8-0A80-4068-BB00-0951822B33A2,Triple Bayonet II,01F10FE2-1E80-4E53-9705-96F5561F8635,0000000A,10,00000A28,"2,600z",0000000F,4,00A0,160,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000001,00000000,00000000,"1, 0, 0",0014,003C,005A,0050,0000,0000,0000,0000,20,60,90,80,0,0,0,0032,4,0000,5,0000,6,0000,7,20,60,90,80,0,0,0,,,0C1DB680,LONG,C4C4D080,2,9C370B80,00000000,00000000,00000000,0002,0000,0000,0000,Guard Up,2,,
0000000D,13,00000007,00002712,10002,00000000,00000000,00000000,00000000,00000000,00000000,0000000D,00000000,00000000,00000000,00000000,00000000,00000000,13,F38598C5-D789-4704-A2DF-D2F56643069C,Triple Bayonet III,4361FC34-36B1-4C49-93B8-4815AA05A734,0000000B,11,00002710,"10,000z",0000000D,6,00BE,190,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",0014,0046,005A,003C,003C,0000,0000,0000,20,70,90,60,60,0,0,0032,5,0000,6,0000,7,0000,8,20,70,90,60,60,0,0,,,0C1DB680,LONG,C4C4D080,2,9C370B80,00000000,00000000,00000000,0002,0000,0000,0000,Guard Up,2,,
0000000E,14,00000007,00002712,10002,00000000,00000000,00000000,00000000,00000000,00000000,0000000E,00000000,00000000,00000000,00000000,00000000,00000000,14,34E8B2D3-551C-46C5-A48D-0E1DF255D8DE,Triumvirate Edge,6006F38D-FAFF-4653-989C-E717D540D136,0000000C,12,00004E20,"20,000z",0000000B,8,00DC,220,0000,0,0000,0%,00000000,-,00000000,0,00000000,00000000,00000003,00000002,00000001,"3, 2, 1",0014,003C,005A,0046,0032,003C,0000,0000,20,60,90,70,50,60,0,0032,6,0000,7,0000,8,0000,9,20,60,90,70,50,60,0,,,0C1DB680,LONG,C4C4D080,2,9C370B80,00000000,00000000,00000000,0003,0000,0000,0000,Guard Up,3,,
0000000F,15,00000007,00000001,1,00000000,00000000,00000000,00000000,00000000,00000000,0000000F,00000000,00000000,00000000,00000000,00000000,00000000,15,83ACA6DC-C47B-4EA5-843C-ECAFE1393093,Quematrice Culebrina I,D37A2E9D-768D-442B-90FF-8E1F93F9CEED,00000029,41,000001F4,500z,00000012,1,0064,100,0000,0,0005,5%,00000001,FIRE,0000000E,14,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,0046,0028,0028,0000,0000,0000,0000,50,70,40,40,0,0,0,0032,4,0000,5,0000,6,0000,7,50,70,40,40,0,0,0,,,ECA9F3C0,NORMAL,D395C240,3,EDA9B920,00000000,00000000,00000000,0001,0000,0000,0000,Guard,1,,
00000010,16,00000007,00000001,1,00000000,00000000,00000000,00000000,00000000,00000000,00000010,00000000,00000000,00000000,00000000,00000000,00000000,16,A269802A-E63D-48DE-A2C0-7E6EB9BC4861,Quematrice Culebrina II,EEE5A92A-E6B1-46FC-A7AD-F478DCD3EA57,0000002A,42,000005DC,"1,500z",00000010,3,008C,140,0000,0,0005,5%,00000001,FIRE,00000010,16,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,0050,0032,0046,0000,0000,0000,0000,50,80,50,70,0,0,0,0032,4,0000,5,0000,6,0000,7,50,80,50,70,0,0,0,,,ECA9F3C0,NORMAL,D395C240,3,EDA9B920,00000000,00000000,00000000,0002,0000,0000,0000,Guard,2,,
00000011,17,00000007,00000001,1,00000000,00000000,00000000,00000000,00000000,00000000,00000011,00000000,00000000,00000000,00000000,00000000,00000000,17,3BF028E3-E149-4F3C-9FEE-F51E62D3FB7D,Quematrice Culebrina III,8E0FED7C-924E-486A-BA06-FAFF3096ED85,0000002B,43,00000FA0,"4,000z",0000000E,5,00AA,170,0000,0,0005,5%,00000001,FIRE,00000014,20,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",0046,0050,0046,0032,001E,0000,0000,0000,70,80,70,50,30,0,0,0032,5,0000,6,0000,7,0000,8,70,80,70,50,30,0,0,,,ECA9F3C0,NORMAL,D395C240,3,EDA9B920,00000000,00000000,00000000,0002,0000,0000,0000,Guard,2,,
00000012,18,00000007,00000001,1,00000000,00000000,00000000,00000000,00000000,00000000,00000012,00000000,00000000,00000000,00000000,00000000,00000000,18,96794735-4294-4864-9CDF-9046E16B302B,Quematrice Culebrina IV,E8EDB50B-6295-4066-BFFD-9785B9AD1BAC,0000002C,44,000036B0,"14,000z",0000000C,7,00C8,200,0000,0,0005,5%,00000001,FIRE,00000016,22,00000000,00000000,00000003,00000002,00000000,"3, 2, 0",0046,0050,0046,0050,0032,0000,0000,0000,70,80,70,80,50,0,0,0032,5,0000,6,0000,7,0000,8,70,80,70,80,50,0,0,,,ECA9F3C0,NORMAL,D395C240,3,EDA9B920,00000000,00000000,00000000,0003,0000,0000,0000,Guard,3,,
00000013,19,00000007,00000002,2,00000000,00000000,00000000,00000000,00000000,00000000,00000013,00000000,00000000,00000000,00000000,00000000,00000000,19,BA5FD4BD-09E0-41AD-B49E-2C8185E3E7CF,Firetrail Quemador,3FF28F0E-3EC6-4600-AF88-D34D98B8376C,0000002D,45,00004E20,"20,000z",0000000B,8,00DC,220,0000,0,0005,5%,00000001,FIRE,00000019,25,00000000,00000000,00000003,00000002,00000001,"3, 2, 1",003C,0046,0046,0050,0046,0000,0000,0000,60,70,70,80,70,0,0,0032,5,0000,6,0000,7,0000,8,60,70,70,80,70,0,0,,,ECA9F3C0,NORMAL,D395C240,3,EDA9B920,00000000,00000000,00000000,0003,0000,0000,0000,Guard,3,,
00000014,20,00000007,00000003,3,00000000,00000000,00000000,00000000,00000000,00000000,00000014,00000000,00000000,00000000,00000000,00000000,00000000,20,DB414DCE-4012-4BE0-B733-3F5278807D1D,Balahara Exploder I,613CC186-BFD0-48EE-9FF8-B397F49DA991,00000012,18,00000320,800z,00000011,2,006E,110,0000,0,000A,10%,00000002,WATER,00000010,16,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",001E,001E,005A,0032,0000,0000,0000,0000,30,30,90,50,0,0,0,0032,4,0000,5,0000,6,0000,7,30,30,90,50,0,0,0,,,98B83600,WIDE,C4C4D080,2,F53436B0,00000000,00000000,00000000,0001,0000,0000,0000,Offensive Guard,1,,
00000015,21,00000007,00000003,3,00000000,00000000,00000000,00000000,00000000,00000000,00000015,00000000,00000000,00000000,00000000,00000000,00000000,21,3695B147-F84C-4530-A48B-D1A814B7302C,Balahara Exploder II,7F7824F9-D2CF-4527-ACA8-B58BBAD29036,00000013,19,00000A28,"2,600z",0000000F,4,0096,150,0000,0,000A,10%,00000002,WATER,00000014,20,00000000,00000000,00000001,00000000,00000000,"1, 0, 0",0028,001E,0064,0050,0000,0000,0000,0000,40,30,100,80,0,0,0,0032,4,0000,5,0000,6,0000,7,40,30,100,80,0,0,0,,,98B83600,WIDE,C4C4D080,2,F53436B0,00000000,00000000,00000000,0002,0000,0000,0000,Offensive Guard,2,,
00000016,22,00000007,00000003,3,00000000,00000000,00000000,00000000,00000000,00000000,00000016,00000000,00000000,00000000,00000000,00000000,00000000,22,0BD14B4A-F847-49E2-B6CF-B7126BE8029A,Balahara Exploder III,8CBF40E2-03F9-4B72-AEF0-BA6127ACA4C6,00000014,20,00001388,"5,000z",0000000E,5,00A0,160,0000,0,000A,10%,00000002,WATER,00000017,23,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",001E,001E,006E,005A,0028,0000,0000,0000,30,30,110,90,40,0,0,0032,5,0000,6,0000,7,0000,8,30,30,110,90,40,0,0,,,98B83600,WIDE,C4C4D080,2,F53436B0,00000000,00000000,00000000,0002,0000,0000,0000,Offensive Guard,2,,
00000017,23,00000007,00000003,3,00000000,00000000,00000000,00000000,00000000,00000000,00000017,00000000,00000000,00000000,00000000,00000000,00000000,23,38F65200-50D6-4C81-9983-9E196BCE3CA2,Balahara Exploder IV,1F68E9BA-BA80-4B30-A56E-6289A89E8C09,00000015,21,000036B0,"14,000z",0000000C,7,00BE,190,0000,0,000A,10%,00000002,WATER,0000001B,27,00000000,00000000,00000003,00000002,00000000,"3, 2, 0",001E,001E,006E,005A,0046,0014,0000,0000,30,30,110,90,70,20,0,0032,6,0000,7,0000,8,0000,9,30,30,110,90,70,20,0,,,98B83600,WIDE,C4C4D080,2,F53436B0,00000000,00000000,00000000,0003,0000,0000,0000,Offensive Guard,3,,
00000018,24,00000007,00000004,4,00000000,00000000,00000000,00000000,00000000,00000000,00000018,00000000,00000000,00000000,00000000,00000000,00000000,24,B94484DC-DA66-46AE-B290-C9A0BFF5092D,Sandsea Visponan,E776F742-46D4-4173-BC87-70EBA1F42817,00000016,22,00004E20,"20,000z",0000000B,8,00D2,210,0000,0,000A,10%,00000002,WATER,0000001E,30,00000000,00000000,00000003,00000002,00000001,"3, 2, 1",001E,001E,0064,0050,0046,0028,0000,0000,30,30,100,80,70,40,0,0032,6,0000,7,0000,8,0000,9,30,30,100,80,70,40,0,,,98B83600,WIDE,C4C4D080,2,F53436B0,00000000,00000000,00000000,0003,0000,0000,0000,Offensive Guard,3,,
00000019,25,00000007,00000005,5,00000000,00000000,00000000,00000000,00000000,00000000,00000019,00000000,00000000,00000000,00000000,00000000,00000000,25,9BFE68F8-BED2-4A13-AD89-5E50E6AA47CF,Uth Falarmata I,9167F91C-080A-4195-A303-4A167AF54CBE,00000025,37,000007D0,"2,000z",00000010,3,00AA,170,0000,0,FFF1,-15%,00000002,WATER,00000019,25,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,0046,005A,0028,0000,0000,0000,0000,50,70,90,40,0,0,0,0032,4,0000,5,0000,6,0000,7,50,70,90,40,0,0,0,,,ECA9F3C0,NORMAL,49215280,1,EDA9B920,00000000,00000000,00000000,0002,0000,0000,0000,Guard,2,,
0000001A,26,00000007,00000005,5,00000000,00000000,00000000,00000000,00000000,00000000,0000001A,00000000,00000000,00000000,00000000,00000000,00000000,26,2606C221-A733-45A8-9BE0-E6EE613282CC,Uth Falarmata II,AFDA0F73-8662-415B-9184-25815FF96DA9,00000026,38,00000FA0,"4,000z",0000000E,5,00C8,200,0000,0,FFF1,-15%,00000002,WATER,0000001F,31,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",003C,0046,006E,003C,0000,0000,0000,0000,60,70,110,60,0,0,0,0032,4,0000,5,0000,6,0000,7,60,70,110,60,0,0,0,,,ECA9F3C0,NORMAL,49215280,1,EDA9B920,00000000,00000000,00000000,0002,0000,0000,0000,Guard,2,,
0000001B,27,00000007,00000005,5,00000000,00000000,00000000,00000000,00000000,00000000,0000001B,00000000,00000000,00000000,00000000,00000000,00000000,27,F4168009-1F2E-4AC3-91F1-BEF6631BD33A,Uth Falarmata III,F7BFC9F1-D8FC-4913-9F27-90EC9995D4D2,00000027,39,000036B0,"14,000z",0000000C,7,00E6,230,0000,0,FFF1,-15%,00000002,WATER,00000025,37,00000000,00000000,00000003,00000002,00000000,"3, 2, 0",003C,0046,0078,0046,001E,0000,0000,0000,60,70,120,70,30,0,0,0032,5,0000,6,0000,7,0000,8,60,70,120,70,30,0,0,,,ECA9F3C0,NORMAL,49215280,1,EDA9B920,00000000,00000000,00000000,0003,0000,0000,0000,Guard,3,,
0000001C,28,00000007,00000005,5,00000000,00000000,00000000,00000000,00000000,00000000,0000001C,00000000,00000000,00000000,00000000,00000000,00000000,28,2687DDB0-155F-4673-8457-7E766BA1A3EB,Falarmata-of-the-Waves,D91A3423-BDFD-4244-BD00-F30827169BD6,00000028,40,00004E20,"20,000z",0000000B,8,00FA,250,0000,0,FFF1,-15%,00000002,WATER,00000028,40,00000000,00000000,00000003,00000002,00000001,"3, 2, 1",003C,003C,0064,0046,003C,0000,0000,0000,60,60,100,70,60,0,0,000A,5,0028,6,0000,7,0000,8,60,60,100,70,60,0,0,,,ECA9F3C0,NORMAL,49215280,1,EDA9B920,00000000,00000000,00000000,0003,0000,0000,0000,Guard,3,,
0000001D,29,00000007,00000009,9,00000000,00000000,00000000,00000000,00000000,00000000,0000001D,00000000,00000000,00000000,00000000,00000000,00000000,29,9E51D6D0-BA26-4FA6-9174-59BCFAC1DC5C,Shell Gunberd I,0B1BE07F-FAD4-41B6-9657-E07485C8A683,00000021,33,000005DC,"1,500z",00000010,3,0078,120,0000,0,000A,10%,00000008,SLEEP,0000000F,15,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0046,0028,001E,006E,0000,0000,0000,0000,70,40,30,110,0,0,0,0032,4,0000,5,0000,6,0000,7,70,40,30,110,0,0,0,,,0C1DB680,LONG,C4C4D080,2,28EBAB40,F5EE7100,00000000,00000000,0001,0001,0000,0000,Critical Draw,1,Critical Status,1
0000001E,30,00000007,00000009,9,00000000,00000000,00000000,00000000,00000000,00000000,0000001E,00000000,00000000,00000000,00000000,00000000,00000000,30,871EA09A-945D-497D-ABA1-C4BF1673E486,Shell Gunberd II,B62FDB5E-F306-451D-9238-A4B357F819DA,00000022,34,00001388,"5,000z",0000000E,5,0096,150,0000,0,000F,15%,00000008,SLEEP,00000015,21,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",0046,0028,001E,0064,003C,0000,0000,0000,70,40,30,100,60,0,0,0032,5,0000,6,0000,7,0000,8,70,40,30,100,60,0,0,,,0C1DB680,LONG,C4C4D080,2,28EBAB40,F5EE7100,00000000,00000000,0001,0001,0000,0000,Critical Draw,1,Critical Status,1
0000001F,31,00000007,00000009,9,00000000,00000000,00000000,00000000,00000000,00000000,0000001F,00000000,00000000,00000000,00000000,00000000,00000000,31,8B4798FB-843F-47E2-9F41-D3FE89EA61AC,Shell Gunberd III,716806A5-62EA-4599-B832-3BD32B483A4D,00000023,35,000036B0,"14,000z",0000000C,7,00B4,180,0000,0,000F,15%,00000008,SLEEP,0000001B,27,00000000,00000000,00000003,00000002,00000000,"3, 2, 0",0046,0028,001E,005A,003C,003C,0000,0000,70,40,30,90,60,60,0,0032,6,0000,7,0000,8,0000,9,70,40,30,90,60,60,0,,,0C1DB680,LONG,C4C4D080,2,28EBAB40,F5EE7100,00000000,00000000,0002,0001,0000,0000,Critical Draw,2,Critical Status,1
00000020,32,00000007,00000009,9,00000000,00000000,00000000,00000000,00000000,00000000,00000020,00000000,00000000,00000000,00000000,00000000,00000000,32,A2751B6C-15EB-4793-ABA5-C8532DB3973F,Solid Gunberd,9EDBE63E-70E4-4D47-B37E-F2D3BB937801,00000024,36,00004E20,"20,000z",0000000B,8,00C8,200,0000,0,000F,15%,00000008,SLEEP,0000001E,30,00000000,00000000,00000003,00000002,00000001,"3, 2, 1",0046,0028,001E,003C,0028,006E,0000,0000,70,40,30,60,40,110,0,0032,6,0000,7,0000,8,0000,9,70,40,30,60,40,110,0,,,0C1DB680,LONG,C4C4D080,2,28EBAB40,F5EE7100,00000000,00000000,0002,0001,0000,0000,Critical Draw,2,Critical Status,1
00000021,33,00000007,0000000A,10,00000000,00000000,00000000,00000000,00000000,00000000,00000021,00000000,00000000,00000000,00000000,00000000,00000000,33,AD481804-2884-4B18-B23A-BFD1C543AF25,Ajara Gunpike I,BB052547-D802-4F60-8C4C-7E8A871F3F7B,0000000F,15,000005DC,"1,500z",00000010,3,0082,130,0000,0,000A,10%,00000009,BLAST,00000013,19,00000000,00000000,00000000,00000000,00000000,"0, 0, 0",0032,003C,0046,0046,0000,0000,0000,0000,50,60,70,70,0,0,0,0032,4,0000,5,0000,6,0000,7,50,60,70,70,0,0,0,,,98B83600,WIDE,C4C4D080,2,2FD89D00,F53436B0,00000000,00000000,0001,0001,0000,0000,Load Shells,1,Offensive Guard,1
00000022,34,00000007,0000000A,10,00000000,00000000,00000000,00000000,00000000,00000000,00000022,00000000,00000000,00000000,00000000,00000000,00000000,34,F7115ADC-F840-4797-B1ED-6985F07BA658,Ajara Gunpike II,D7F42407-BAFF-4CF3-BE4C-EE6A8D0F4C5E,00000010,16,00002710,"10,000z",0000000D,6,00B4,180,0000,0,000A,10%,00000009,BLAST,00000016,22,00000000,00000000,00000002,00000001,00000000,"2, 1, 0",0032,003C,005A,0028,003C,0000,0000,0000,50,60,90,40,60,0,0,0032,5,0000,6,0000,7,0000,8,50,60,90,40,60,0,0,,,98B83600,WIDE,C4C4D080,2,2FD89D00,F53436B0,00000000,00000000,0002,0001,0000,0000,Load Shells,2,Offensive Guard,1
