Index Raw,Index,Data Value Raw,Data Value,Series Raw,Series,Type Raw,Type,Name Raw,Name,Description Raw,Description,Defense Raw,Defense,Fire Res Raw,Fire Res,Water Res Raw,Water Res,Thunder Res Raw,Thunder Res,Ice Res Raw,Ice Res,Dragon Res Raw,Dragon Res,Slot 1 Raw,Slot 1,Slot 2 Raw,Slot 2,Slot 3 Raw,Slot 3,Series Skill Raw,Group Skill Raw,Skill 1 Raw,Skill 2 Raw,Skill 3 Raw,Skill 4 Raw,Skill 5 Raw,Series Skill Level Raw,Group Skill Level Raw,Skill Level 1 Raw,Skill Level 2 Raw,Skill Level 3 Raw,Skill Level 4 Raw,Skill Level 5 Raw,Series Skill,Group Skill,Skill 1,Skill Level 1,Skill 2,Skill Level 2,Skill 3,Skill Level 3
00000010,16,00000011,17,00000005,Bone,00000001,BODY,83799C7A-5690-46E0-A475-5CF456CF100E,Bone Mail,808F7FB9-8E6F-499D-BB42-45CF256A455D,"Traditional chest armor with a
unique plating of intricately
pieced together monster bones.",00000004,4,00000002,2,00000000,0,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,00000000,D7508FC0,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Marathon Runner,1,,,,
00000011,17,00000012,18,00000005,Bone,00000002,ARM,F520BE28-5596-4AEC-8415-E403998433BE,Bone Vambraces,EA7EFCEB-DB8B-4378-86C9-1E30C1A8E232,"Traditional armguards made
from monster bones. It's a
wonder these mismatched
shapes fit together.",00000004,4,00000002,2,00000000,0,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,00000000,2A0A4AC0,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Stun Resistance,1,,,,
00000012,18,00000013,19,00000005,Bone,00000003,WAIST,774E0670-3A30-43AA-9797-70A0E3CBCAFD,Bone Coil,25D06B34-86E7-45AA-BF8B-890C9B687590,"Traditional waistgear bound
with monster bones. Looks
crude, but it does the job.",00000004,4,00000002,2,00000000,0,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,00000000,D7508FC0,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Marathon Runner,1,,,,
00000013,19,00000014,20,00000005,Bone,00000004,LEG,79BE4F0A-7E7A-45F5-BAC4-AD7786B2F736,Bone Greaves,BF5B8E9A-12EE-4594-82E4-66147757CAAE,"Traditional leg armor crafted
from monster bones so light it's
like wearing nothing at all.",00000004,4,00000002,2,00000000,0,00000002,2,00000000,0,00000002,2,00000000,0,00000000,0,00000000,0,00000000,00000000,2A0A4AC0,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Stun Resistance,1,,,,
00000014,20,00000015,21,0000000C,Bulaqchi,00000000,HELM,7662BBD3-D5A3-4240-96A9-C896C95B3CE9,Bulaqchi Specs,2E5C5435-9133-42EC-967E-B40E0F2D4625,"Spectacles made from Bulaqchi
parts. The hottest new design
for the stylish hunter.",00000004,4,FFFFFFFC,-4,00000001,1,00000001,1,FFFFFFFE,-2,00000004,4,00000000,0,00000000,0,00000000,0,00000000,75586A00,358ABBC0,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Neopteron Alert,Entomologist,1,,,,
00000015,21,00000016,22,0000000B,Talioth,00000002,ARM,9CEA3459-3BC1-4F56-AAFA-853D5CD088EB,Talioth Vambraces,62457089-289F-4C37-B5F5-E20017FBBA95,"Talioth armguards. The forearm
blades are a classic example
of style over practicality.",00000004,4,00000004,4,FFFFFFFE,-2,FFFFFFFE,-2,FFFFFFFE,-2,00000002,2,00000000,0,00000000,0,00000000,0,00000000,9DBAE680,B23EB800,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Flexible Leathercraft,Leap of Faith,1,,,,
00000016,22,00000017,23,47C7CF80,Chatacabra,00000000,HELM,5F1A4E5F-2616-4379-9094-CD15C4843001,Chatacabra Helm,673342B4-3B3C-4590-B6C9-AC5D65929A96,"Chatacabra head armor.
The design is specially tailored
for desert hunting.",00000006,6,00000001,1,00000002,2,FFFFFFFD,-3,FFFFFFFF,-1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,9DBAE680,25CB1D80,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Flexible Leathercraft,Speed Eating,1,,,,
00000017,23,00000018,24,47C7CF80,Chatacabra,00000001,BODY,9C119A99-9561-4C27-AAE7-477D59090C79,Chatacabra Mail,22F245C7-3D8D-4A7E-8384-237B087622B4,"Chatacabra chest armor.
Equipped with generous elastic
cushioning in the collar.",00000006,6,00000001,1,00000002,2,FFFFFFFD,-3,FFFFFFFF,-1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,9DBAE680,25CB1D80,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Flexible Leathercraft,Speed Eating,1,,,,
00000018,24,00000019,25,47C7CF80,Chatacabra,00000002,ARM,58059AB5-01EA-4CA8-884D-037AC294875C,Chatacabra Vambraces,8FE0CCDE-D2A0-4FE1-B91F-F09168F06025,"Chatacabra armguards. They
protect the wrists without
hampering weapon handling.",00000006,6,00000001,1,00000002,2,FFFFFFFD,-3,FFFFFFFF,-1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,9DBAE680,9B96D580,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Flexible Leathercraft,Item Prolonger,1,,,,
00000019,25,0000001A,26,47C7CF80,Chatacabra,00000003,WAIST,6B85BDBE-CD8B-49D3-86D7-1C1D350EE8E7,Chatacabra Coil,0101AC3F-5787-4BFD-9606-78868DA8A475,"Chatacabra waistgear. The
charming, heart-shaped pouch
is made from its ample tongue.",00000006,6,00000001,1,00000002,2,FFFFFFFD,-3,FFFFFFFF,-1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,9DBAE680,25CB1D80,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Flexible Leathercraft,Speed Eating,1,,,,
0000001A,26,0000001B,27,47C7CF80,Chatacabra,00000004,LEG,ABC7CC0D-9DA8-4473-9B97-9042682DB723,Chatacabra Greaves,98D1E1C8-A157-4044-92BE-8C66A06DAE6A,"Leg armor made from
Chatacabra spoils. A loose
fit for maximum mobility.",00000006,6,00000001,1,00000002,2,FFFFFFFD,-3,FFFFFFFF,-1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,9DBAE680,9B96D580,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Flexible Leathercraft,Item Prolonger,1,,,,
0000001B,27,0000001C,28,82429580,Quematrice,00000000,HELM,DD0C3570-7241-4414-BE55-5CFBD65529F9,Quematrice Helm,09A4739E-BC71-4B34-8C66-4F927BA39693,"Head armor made from Quematrice
spoils. The shock of feathers
ties the whole look together.",00000006,6,00000002,2,FFFFFFFD,-3,00000000,0,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,58AAF300,2C44A0C0,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Scaling Prowess,Flinch Free,1,,,,
0000001C,28,0000001D,29,82429580,Quematrice,00000001,BODY,2A177BAF-6983-487D-934B-377CAE319CDA,Quematrice Mail,A479116F-A966-4691-9BAA-8CAA04AA97A9,"Quematrice chest armor. The
design may look ceremonial,
but it offers ample protection.",00000006,6,00000002,2,FFFFFFFD,-3,00000000,0,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,58AAF300,54FB4F80,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Scaling Prowess,Fire Resistance,1,,,,
0000001D,29,0000001E,30,82429580,Quematrice,00000002,ARM,29520FA4-E299-46C0-A389-27F48CBCDB13,Quematrice Braces,4D5037FA-CC01-4A00-AED8-A41855B7366F,"Armguards made from Quematrice
parts. The wide cuffs allow
the wrists to move unimpeded.",00000006,6,00000002,2,FFFFFFFD,-3,00000000,0,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,58AAF300,2C44A0C0,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Scaling Prowess,Flinch Free,1,,,,
0000001E,30,0000001F,31,82429580,Quematrice,00000003,WAIST,6F7ECEE2-488F-4FF6-8850-E5802C2B573A,Quematrice Coil,061882F0-9CC9-4764-83EC-F0E48BDCAEC6,"Flaunt-worthy Quematrice
waistgear. Nothing shouts haute
couture like flowing tassets.",00000006,6,00000002,2,FFFFFFFD,-3,00000000,0,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,58AAF300,54FB4F80,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Scaling Prowess,Fire Resistance,1,,,,
0000001F,31,00000020,32,82429580,Quematrice,00000004,LEG,B1614E3A-AF90-4CAD-879D-FBFCEB1767A7,Quematrice Greaves,39FD401D-0445-449D-A75D-C0AFF75B70B4,"Quematrice leg armor. The
ornate gaiters let a hunter
strut like a Quematrice.",00000006,6,00000002,2,FFFFFFFD,-3,00000000,0,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,58AAF300,2C44A0C0,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Scaling Prowess,Flinch Free,1,,,,
00000020,32,00000021,33,00000007,Alloy,00000000,HELM,4A40EE88-4D42-426A-9F4A-B68EA735D234,Alloy Helm,FFA24095-9ADF-4A9D-A2FC-3255A7E2CEC0,"A helmet crafted from quality
ore. While it doesn't look like
much, this is highly functional
armor.",00000006,6,FFFFFFFE,-2,00000001,1,FFFFFFFE,-2,FFFFFFFE,-2,00000001,1,00000000,0,00000000,0,00000000,0,00000000,00000000,C0053240,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Quick Sheathe,1,,,,
00000021,33,00000022,34,00000007,Alloy,00000001,BODY,119F2395-D68B-4FF3-B53E-4C38580504EB,Alloy Mail,A3B28675-A5B2-4F28-BE3E-9C98C1120A35,"Chest armor crafted from
quality ore. Made with a
logical, no-frills construction
that puts mobility first.",00000006,6,FFFFFFFE,-2,00000001,1,FFFFFFFE,-2,FFFFFFFE,-2,00000001,1,00000000,0,00000000,0,00000000,0,00000000,00000000,DBAB9E00,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Tremor Resistance,1,,,,
00000022,34,00000023,35,00000007,Alloy,00000002,ARM,45CF0D57-F0DA-4C64-8097-653907ED4547,Alloy Vambraces,013C1698-DBEF-41D4-B46A-87213A83EF30,"Armguards crafted from quality
ore. Every element is streamlined
for maximum utility.",00000006,6,FFFFFFFE,-2,00000001,1,FFFFFFFE,-2,FFFFFFFE,-2,00000001,1,00000000,0,00000000,0,00000000,0,00000000,00000000,DBAB9E00,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Tremor Resistance,1,,,,
00000023,35,00000024,36,00000007,Alloy,00000003,WAIST,50710881-E88F-45B0-931C-F313238266FD,Alloy Coil,2E4CB8CD-FD30-4FA7-A87D-2F6289887428,"Waistgear crafted from quality
ore. The complexly shaded patina
and sleek design are quite
stunning.",00000006,6,FFFFFFFE,-2,00000001,1,FFFFFFFE,-2,FFFFFFFE,-2,00000001,1,00000000,0,00000000,0,00000000,0,00000000,00000000,DBAB9E00,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Tremor Resistance,1,,,,
00000024,36,00000025,37,00000007,Alloy,00000004,LEG,984D0138-8113-4F8D-A362-5D473F0A61B4,Alloy Greaves,85B3C825-CCF7-4BAA-8F47-AD158D0CC5EC,"Leg armor crafted from quality
ore. What it lacks in charm it
more than makes up in defense.",00000006,6,FFFFFFFE,-2,00000001,1,FFFFFFFE,-2,FFFFFFFE,-2,00000001,1,00000000,0,00000000,0,00000000,0,00000000,00000000,C0053240,00000000,00000000,00000000,00000000,00000000,00000000,00000001,00000000,00000000,00000000,00000000,,,Quick Sheathe,1,,,,
00000025,37,00000026,38,6947AB00,Piragill,00000004,LEG,E2B9C2F7-7858-42B1-9E26-8579FF64537A,Piragill Greaves,FD9FC39F-E070-4D6C-A8D3-55B00C0BDC0D,"Piragill leg armor. A light,
skintight fit made with the most
exquisite, buttery-soft leather.",00000004,4,FFFFFFFD,-3,00000004,4,FFFFFFFD,-3,00000001,1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,9DBAE680,16D5B740,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Flexible Leathercraft,Water Resistance,1,,,,
00000027,39,00000027,39,934CF200,Vespoid,00000000,HELM,F1C1E0B8-994B-4A9C-9216-9E399987B007,Vespoid Helm,55BCFF62-7233-417A-8D38-6EA9369CF538,"A Vespoid helmet. The carapace
material is susceptible to fire
but offers sturdy coverage.",00000004,4,FFFFFFFE,-2,00000001,1,00000001,1,00000001,1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,75586A00,DCA774C0,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Neopteron Alert,Survival Expert,1,,,,
00000028,40,00000028,40,934CF200,Vespoid,00000001,BODY,1A35902A-3216-406F-AF76-F14ABE286C06,Vespoid Mail,93EA7F4A-71B6-4B51-8231-7A3D40515436,"Vespoid chest armor. Its arcane
build provides formidable
resistance to physical attacks.",00000004,4,FFFFFFFE,-2,00000001,1,00000001,1,00000001,1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,75586A00,DCA774C0,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Neopteron Alert,Survival Expert,1,,,,
00000029,41,00000029,41,934CF200,Vespoid,00000002,ARM,35CB7FE9-A0C5-40AB-89EB-F25AEE7CED0A,Vespoid Vambraces,3BA108D7-FBDC-43FD-88B8-F10F2C9C29AD,"Vespoid armguards. They are as
heavy as they look, but they
afford significant defense.",00000004,4,FFFFFFFE,-2,00000001,1,00000001,1,00000001,1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,75586A00,1F217EC0,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Neopteron Alert,Paralysis Resistance,1,,,,
0000002A,42,0000002A,42,934CF200,Vespoid,00000003,WAIST,52566E81-2D95-4418-81BF-CF24D3749708,Vespoid Coil,71EC9B61-ED63-4908-9EA8-38346F0F0B24,"Vespoid waistgear. The design
arose from the study of highly
defensive exoskeletons.",00000004,4,FFFFFFFE,-2,00000001,1,00000001,1,00000001,1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,75586A00,1F217EC0,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Neopteron Alert,Paralysis Resistance,1,,,,
0000002B,43,0000002B,43,934CF200,Vespoid,00000004,LEG,3FE118A4-E3FE-457E-8BDC-61CE346751C2,Vespoid Greaves,95FD69F7-84F6-4879-8FD8-9CD22CF270B0,"Leg armor made from Vespoid
parts. Ingenious artisanship has
further reinforced the carapace.",00000004,4,FFFFFFFE,-2,00000001,1,00000001,1,00000001,1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,75586A00,DCA774C0,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Neopteron Alert,Survival Expert,1,,,,
0000002C,44,0000002C,44,FE851D6C,Lala Barina,00000000,HELM,ED451A16-BAA1-448D-80FC-20883E52A5FB,Barina Headgear,74471653-B5C1-41F2-A989-1168C491F68C,"Lala Barina head armor. The
rose embellishments were
fashioned from its carapace.",00000008,8,FFFFFFFD,-3,00000003,3,00000000,0,00000000,0,00000003,3,00000000,0,00000000,0,00000000,0,00000000,75586A00,1F217EC0,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Neopteron Alert,Paralysis Resistance,1,,,,
0000002D,45,0000002D,45,FE851D6C,Lala Barina,00000001,BODY,131800F8-7A78-4DBE-96E9-400E3199E251,Barina Mail,2582406F-54F5-47B7-869D-07690118B43A,"Lala Barina chest armor. It may
look like normal clothing, but
it's just as hardy as armor.",00000008,8,FFFFFFFD,-3,00000003,3,00000000,0,00000000,0,00000003,3,00000000,0,00000000,0,00000000,0,00000000,75586A00,1F217EC0,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Neopteron Alert,Paralysis Resistance,1,,,,
0000002E,46,0000002E,46,FE851D6C,Lala Barina,00000002,ARM,49CAAAAF-E127-4E41-9B63-8C71BD3EADEA,Barina Vambraces,75FA222E-4C97-4A76-B132-FCEE9CE1909B,"Lala Barina armguards that
are so elegant they could
pass as formal wear.",00000008,8,FFFFFFFD,-3,00000003,3,00000000,0,00000000,0,00000003,3,00000000,0,00000000,0,00000000,0,00000000,75586A00,B6595880,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Neopteron Alert,Recovery Up,1,,,,
0000002F,47,0000002F,47,FE851D6C,Lala Barina,00000003,WAIST,B1CC8C98-E1D7-4839-8F46-44BAC2524962,Barina Coil,14C6DC4D-BFDF-4749-A95C-631C0E572C8F,"Lala Barina waistgear that
nobility would gladly don
just to make an impression.",00000008,8,FFFFFFFD,-3,00000003,3,00000000,0,00000000,0,00000003,3,00000000,0,00000000,0,00000000,0,00000000,75586A00,B6595880,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Neopteron Alert,Recovery Up,1,,,,
00000030,48,00000030,48,FE851D6C,Lala Barina,00000004,LEG,232A5B4D-81EF-4F18-9CB4-B92ACE6960FE,Barina Greaves,18F4A079-1078-4B23-84CB-E23FD41DF4B0,"Lala Barina leg armor. Pulls
the rose motif back in with
subtle but elegant detailing.",00000008,8,FFFFFFFD,-3,00000003,3,00000000,0,00000000,0,00000003,3,00000000,0,00000000,0,00000000,0,00000000,75586A00,B6595880,00000000,00000000,00000000,00000000,00000000,00000001,00000001,00000000,00000000,00000000,00000000,,Neopteron Alert,Recovery Up,1,,,,
