Index Raw,Index,Name Raw,Name,Type Raw,Type,Series Raw,Series,Defense Raw,Defense,Fire Res Raw,Fire Res,Water Res Raw,Water Res,Thunder Res Raw,Thunder Res,Ice Res Raw,Ice Res,Dragon Res Raw,Dragon Res,Slot 1 Raw,Slot 1,Slot 2 Raw,Slot 2,Slot 3 Raw,Slot 3,Series Skill Raw,Series Skill,Group Skill Raw,Group Skill,Skill 1 Raw,Skill 1,Skill Level 1 Raw,Skill Level 1,Skill 2 Raw,Skill 2,Skill Level 2 Raw,Skill Level 2,Skill 3 Raw,Skill 3,Skill Level 3 Raw,Skill Level 3
00000017,23,9C119A99-9561-4C27-AAE7-477D59090C79,Chatacabra Mail,00000001,BODY,47C7CF80,Chatacabra,00000006,6,00000001,1,00000002,2,FFFFFFFD,-3,FFFFFFFF,-1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,9DBAE680,Flexible Leathercraft,25CB1D80,Speed Eating,00000001,1,00000000,,00000000,,00000000,,00000000,
00000018,24,58059AB5-01EA-4CA8-884D-037AC294875C,Chatacabra Vambraces,00000002,ARM,47C7CF80,Chatacabra,00000006,6,00000001,1,00000002,2,FFFFFFFD,-3,FFFFFFFF,-1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,9DBAE680,Flexible Leathercraft,9B96D580,Item Prolonger,00000001,1,00000000,,00000000,,00000000,,00000000,
00000019,25,6B85BDBE-CD8B-49D3-86D7-1C1D350EE8E7,Chatacabra Coil,00000003,WAIST,47C7CF80,Chatacabra,00000006,6,00000001,1,00000002,2,FFFFFFFD,-3,FFFFFFFF,-1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,9DBAE680,Flexible Leathercraft,25CB1D80,Speed Eating,00000001,1,00000000,,00000000,,00000000,,00000000,
0000001A,26,ABC7CC0D-9DA8-4473-9B97-9042682DB723,Chatacabra Greaves,00000004,LEG,47C7CF80,Chatacabra,00000006,6,00000001,1,00000002,2,FFFFFFFD,-3,FFFFFFFF,-1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,9DBAE680,Flexible Leathercraft,9B96D580,Item Prolonger,00000001,1,00000000,,00000000,,00000000,,00000000,
0000001B,27,DD0C3570-7241-4414-BE55-5CFBD65529F9,Quematrice Helm,00000000,HELM,82429580,Quematrice,00000006,6,00000002,2,FFFFFFFD,-3,00000000,0,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,58AAF300,Scaling Prowess,2C44A0C0,Flinch Free,00000001,1,00000000,,00000000,,00000000,,00000000,
0000001C,28,2A177BAF-6983-487D-934B-377CAE319CDA,Quematrice Mail,00000001,BODY,82429580,Quematrice,00000006,6,00000002,2,FFFFFFFD,-3,00000000,0,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,58AAF300,Scaling Prowess,54FB4F80,Fire Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
0000001D,29,29520FA4-E299-46C0-A389-27F48CBCDB13,Quematrice Braces,00000002,ARM,82429580,Quematrice,00000006,6,00000002,2,FFFFFFFD,-3,00000000,0,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,58AAF300,Scaling Prowess,2C44A0C0,Flinch Free,00000001,1,00000000,,00000000,,00000000,,00000000,
0000001E,30,6F7ECEE2-488F-4FF6-8850-E5802C2B573A,Quematrice Coil,00000003,WAIST,82429580,Quematrice,00000006,6,00000002,2,FFFFFFFD,-3,00000000,0,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,58AAF300,Scaling Prowess,54FB4F80,Fire Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
0000001F,31,B1614E3A-AF90-4CAD-879D-FBFCEB1767A7,Quematrice Greaves,00000004,LEG,82429580,Quematrice,00000006,6,00000002,2,FFFFFFFD,-3,00000000,0,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,58AAF300,Scaling Prowess,2C44A0C0,Flinch Free,00000001,1,00000000,,00000000,,00000000,,00000000,
00000020,32,4A40EE88-4D42-426A-9F4A-B68EA735D234,Alloy Helm,00000000,HELM,00000007,Alloy,00000006,6,FFFFFFFE,-2,00000001,1,FFFFFFFE,-2,FFFFFFFE,-2,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,00000000,,C0053240,Quick Sheathe,00000001,1,00000000,,00000000,,00000000,,00000000,
00000021,33,119F2395-D68B-4FF3-B53E-4C38580504EB,Alloy Mail,00000001,BODY,00000007,Alloy,00000006,6,FFFFFFFE,-2,00000001,1,FFFFFFFE,-2,FFFFFFFE,-2,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,00000000,,DBAB9E00,Tremor Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000022,34,45CF0D57-F0DA-4C64-8097-653907ED4547,Alloy Vambraces,00000002,ARM,00000007,Alloy,00000006,6,FFFFFFFE,-2,00000001,1,FFFFFFFE,-2,FFFFFFFE,-2,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,00000000,,DBAB9E00,Tremor Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000023,35,50710881-E88F-45B0-931C-F313238266FD,Alloy Coil,00000003,WAIST,00000007,Alloy,00000006,6,FFFFFFFE,-2,00000001,1,FFFFFFFE,-2,FFFFFFFE,-2,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,00000000,,DBAB9E00,Tremor Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000024,36,984D0138-8113-4F8D-A362-5D473F0A61B4,Alloy Greaves,00000004,LEG,00000007,Alloy,00000006,6,FFFFFFFE,-2,00000001,1,FFFFFFFE,-2,FFFFFFFE,-2,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,00000000,,C0053240,Quick Sheathe,00000001,1,00000000,,00000000,,00000000,,00000000,
00000025,37,E2B9C2F7-7858-42B1-9E26-8579FF64537A,Piragill Greaves,00000004,LEG,6947AB00,Piragill,00000004,4,FFFFFFFD,-3,00000004,4,FFFFFFFD,-3,00000001,1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,9DBAE680,Flexible Leathercraft,16D5B740,Water Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000027,39,F1C1E0B8-994B-4A9C-9216-9E399987B007,Vespoid Helm,00000000,HELM,934CF200,Vespoid,00000004,4,FFFFFFFE,-2,00000001,1,00000001,1,00000001,1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,75586A00,Neopteron Alert,DCA774C0,Survival Expert,00000001,1,00000000,,00000000,,00000000,,00000000,
00000028,40,1A35902A-3216-406F-AF76-F14ABE286C06,Vespoid Mail,00000001,BODY,934CF200,Vespoid,00000004,4,FFFFFFFE,-2,00000001,1,00000001,1,00000001,1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,75586A00,Neopteron Alert,DCA774C0,Survival Expert,00000001,1,00000000,,00000000,,00000000,,00000000,
00000029,41,35CB7FE9-A0C5-40AB-89EB-F25AEE7CED0A,Vespoid Vambraces,00000002,ARM,934CF200,Vespoid,00000004,4,FFFFFFFE,-2,00000001,1,00000001,1,00000001,1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,75586A00,Neopteron Alert,1F217EC0,Paralysis Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
0000002A,42,52566E81-2D95-4418-81BF-CF24D3749708,Vespoid Coil,00000003,WAIST,934CF200,Vespoid,00000004,4,FFFFFFFE,-2,00000001,1,00000001,1,00000001,1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,75586A00,Neopteron Alert,1F217EC0,Paralysis Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
0000002B,43,3FE118A4-E3FE-457E-8BDC-61CE346751C2,Vespoid Greaves,00000004,LEG,934CF200,Vespoid,00000004,4,FFFFFFFE,-2,00000001,1,00000001,1,00000001,1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,75586A00,Neopteron Alert,DCA774C0,Survival Expert,00000001,1,00000000,,00000000,,00000000,,00000000,
0000002C,44,ED451A16-BAA1-448D-80FC-20883E52A5FB,Barina Headgear,00000000,HELM,FE851D6C,Lala Barina,00000008,8,FFFFFFFD,-3,00000003,3,00000000,0,00000000,0,00000003,3,00000000,0,00000000,0,00000000,0,00000000,,75586A00,Neopteron Alert,1F217EC0,Paralysis Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
0000002D,45,131800F8-7A78-4DBE-96E9-400E3199E251,Barina Mail,00000001,BODY,FE851D6C,Lala Barina,00000008,8,FFFFFFFD,-3,00000003,3,00000000,0,00000000,0,00000003,3,00000000,0,00000000,0,00000000,0,00000000,,75586A00,Neopteron Alert,1F217EC0,Paralysis Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
0000002E,46,49CAAAAF-E127-4E41-9B63-8C71BD3EADEA,Barina Vambraces,00000002,ARM,FE851D6C,Lala Barina,00000008,8,FFFFFFFD,-3,00000003,3,00000000,0,00000000,0,00000003,3,00000000,0,00000000,0,00000000,0,00000000,,75586A00,Neopteron Alert,B6595880,Recovery Up,00000001,1,00000000,,00000000,,00000000,,00000000,
0000002F,47,B1CC8C98-E1D7-4839-8F46-44BAC2524962,Barina Coil,00000003,WAIST,FE851D6C,Lala Barina,00000008,8,FFFFFFFD,-3,00000003,3,00000000,0,00000000,0,00000003,3,00000000,0,00000000,0,00000000,0,00000000,,75586A00,Neopteron Alert,B6595880,Recovery Up,00000001,1,00000000,,00000000,,00000000,,00000000,
00000030,48,232A5B4D-81EF-4F18-9CB4-B92ACE6960FE,Barina Greaves,00000004,LEG,FE851D6C,Lala Barina,00000008,8,FFFFFFFD,-3,00000003,3,00000000,0,00000000,0,00000003,3,00000000,0,00000000,0,00000000,0,00000000,,75586A00,Neopteron Alert,B6595880,Recovery Up,00000001,1,00000000,,00000000,,00000000,,00000000,
00000031,49,4DF671DB-EC2C-40C2-8216-38415EFB37CD,Conga Helm,00000000,HELM,281571C0,Conga,00000008,8,FFFFFFFD,-3,00000001,1,00000001,1,FFFFFFFF,-1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,77181200,Fortifying Pelt,E34E1EE0,Mushroomancer,00000001,1,00000000,,00000000,,00000000,,00000000,
00000032,50,C8C483B9-CB9D-41EA-9BD4-87FADC651B28,Conga Mail,00000001,BODY,281571C0,Conga,00000008,8,FFFFFFFD,-3,00000001,1,00000001,1,FFFFFFFF,-1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,77181200,Fortifying Pelt,E34E1EE0,Mushroomancer,00000001,1,00000000,,00000000,,00000000,,00000000,
00000033,51,75970BE1-15D4-4437-9159-E9594146F5E8,Conga Vambraces,00000002,ARM,281571C0,Conga,00000008,8,FFFFFFFD,-3,00000001,1,00000001,1,FFFFFFFF,-1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,77181200,Fortifying Pelt,E779E740,Stench Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000034,52,9E89C4E7-8438-4626-BFB5-70022463E079,Conga Coil,00000003,WAIST,281571C0,Conga,00000008,8,FFFFFFFD,-3,00000001,1,00000001,1,FFFFFFFF,-1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,77181200,Fortifying Pelt,E779E740,Stench Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000035,53,DDF8C4DD-7F67-416A-BDD0-BB34A3F1041C,Conga Greaves,00000004,LEG,281571C0,Conga,00000008,8,FFFFFFFD,-3,00000001,1,00000001,1,FFFFFFFF,-1,00000002,2,00000000,0,00000000,0,00000000,0,00000000,,77181200,Fortifying Pelt,E34E1EE0,Mushroomancer,00000001,1,00000000,,00000000,,00000000,,00000000,
00000036,54,9665E58A-AE57-4ADC-98DA-87CF5C1174B2,Balahara Helm,00000000,HELM,6545AD00,Balahara,0000000C,12,FFFFFFFF,-1,00000002,2,FFFFFFFD,-3,00000001,1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,58AAF300,Scaling Prowess,79E68180,Hunger Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000037,55,E4AE3966-07BE-4E79-88B3-4C5E6374E085,Balahara Mail,00000001,BODY,6545AD00,Balahara,0000000C,12,FFFFFFFF,-1,00000002,2,FFFFFFFD,-3,00000001,1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,58AAF300,Scaling Prowess,C0053240,Quick Sheathe,00000001,1,00000000,,00000000,,00000000,,00000000,
00000038,56,FC70C36A-B55D-4429-948D-89D80B04BAFF,Balahara Vambraces,00000002,ARM,6545AD00,Balahara,0000000C,12,FFFFFFFF,-1,00000002,2,FFFFFFFD,-3,00000001,1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,58AAF300,Scaling Prowess,2829B900,Evade Extender,00000001,1,00000000,,00000000,,00000000,,00000000,
00000039,57,F43C32EC-BC9A-4656-99D5-4102041AFD68,Balahara Coil,00000003,WAIST,6545AD00,Balahara,0000000C,12,FFFFFFFF,-1,00000002,2,FFFFFFFD,-3,00000001,1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,58AAF300,Scaling Prowess,2829B900,Evade Extender,00000001,1,00000000,,00000000,,00000000,,00000000,
0000003A,58,19E80208-DCA0-436D-93DD-D984595A1794,Balahara Greaves,00000004,LEG,6545AD00,Balahara,0000000C,12,FFFFFFFF,-1,00000002,2,FFFFFFFD,-3,00000001,1,00000001,1,00000000,0,00000000,0,00000000,0,00000000,,58AAF300,Scaling Prowess,2829B900,Evade Extender,00000001,1,00000000,,00000000,,00000000,,00000000,
0000003B,59,46DE1A3D-6EB9-4715-8E77-2E499D4E4BA4,Doshaguma Helm,00000000,HELM,990CBB00,Doshaguma,00000010,16,FFFFFFFD,-3,00000002,2,FFFFFFFF,-1,FFFFFFFF,-1,00000004,4,00000000,0,00000000,0,00000000,0,FC4A29B0,Doshaguma's Might,77181200,Fortifying Pelt,32B386C0,Free Meal,00000001,1,00000000,,00000000,,00000000,,00000000,
0000003C,60,B1F215EA-F819-4CDE-B451-AF735C1A43EE,Doshaguma Mail,00000001,BODY,990CBB00,Doshaguma,00000010,16,FFFFFFFD,-3,00000002,2,FFFFFFFF,-1,FFFFFFFF,-1,00000004,4,00000000,0,00000000,0,00000000,0,FC4A29B0,Doshaguma's Might,77181200,Fortifying Pelt,32B386C0,Free Meal,00000001,1,00000000,,00000000,,00000000,,00000000,
0000003D,61,89EC6661-C7E6-4B0C-A607-F3719105EF97,Doshaguma Braces,00000002,ARM,990CBB00,Doshaguma,00000010,16,FFFFFFFD,-3,00000002,2,FFFFFFFF,-1,FFFFFFFF,-1,00000004,4,00000000,0,00000000,0,00000000,0,FC4A29B0,Doshaguma's Might,77181200,Fortifying Pelt,BD27BF80,Recovery Speed,00000001,1,00000000,,00000000,,00000000,,00000000,
0000003E,62,2C2BE429-C3CA-43A3-B494-E6FCC9448196,Doshaguma Coil,00000003,WAIST,990CBB00,Doshaguma,00000010,16,FFFFFFFD,-3,00000002,2,FFFFFFFF,-1,FFFFFFFF,-1,00000004,4,00000000,0,00000000,0,00000000,0,FC4A29B0,Doshaguma's Might,77181200,Fortifying Pelt,9B96D580,Item Prolonger,00000001,1,00000000,,00000000,,00000000,,00000000,
0000003F,63,C943CBF6-C744-4EBF-9CFF-A2D9B2E94B7C,Doshaguma Greaves,00000004,LEG,990CBB00,Doshaguma,00000010,16,FFFFFFFD,-3,00000002,2,FFFFFFFF,-1,FFFFFFFF,-1,00000004,4,00000000,0,00000000,0,00000000,0,FC4A29B0,Doshaguma's Might,77181200,Fortifying Pelt,32B386C0,Free Meal,00000001,1,00000000,,00000000,,00000000,,00000000,
00000040,64,D9DC63AB-F100-494D-8D7A-240D60F8FEA6,Duna Helm,00000000,HELM,EF21D9C0,Uth Duna,0000001A,26,FFFFFFFF,-1,00000004,4,FFFFFFFD,-3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,7D69A480,Uth Duna's Cover,9686CF00,Lord's Favor,7D946580,Peak Performance,00000001,1,1BFC9E00,Tool Specialist,00000001,1,00000000,,00000000,
00000041,65,BAD38C62-449E-4714-9C09-BC8452CDB9C1,Duna Mail,00000001,BODY,EF21D9C0,Uth Duna,0000001A,26,FFFFFFFF,-1,00000004,4,FFFFFFFD,-3,00000000,0,00000000,0,00000001,1,00000000,0,00000000,0,7D69A480,Uth Duna's Cover,9686CF00,Lord's Favor,7D946580,Peak Performance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000042,66,5624E0A3-55C9-409C-BABB-64FBE33FAB34,Duna Vambraces,00000002,ARM,EF21D9C0,Uth Duna,0000001A,26,FFFFFFFF,-1,00000004,4,FFFFFFFD,-3,00000000,0,00000000,0,00000001,1,00000000,0,00000000,0,7D69A480,Uth Duna's Cover,9686CF00,Lord's Favor,1BFC9E00,Tool Specialist,00000001,1,00000000,,00000000,,00000000,,00000000,
00000043,67,F2D95A1F-6D00-4CA3-8A01-02B7A100C7D4,Duna Coil,00000003,WAIST,EF21D9C0,Uth Duna,0000001A,26,FFFFFFFF,-1,00000004,4,FFFFFFFD,-3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,7D69A480,Uth Duna's Cover,9686CF00,Lord's Favor,1BFC9E00,Tool Specialist,00000001,1,F3FE2E80,Aquatic/Oilsilt Mobility,00000001,1,00000000,,00000000,
00000044,68,565DF581-939C-4E7B-8A5D-84D31D391208,Duna Greaves,00000004,LEG,EF21D9C0,Uth Duna,0000001A,26,FFFFFFFF,-1,00000004,4,FFFFFFFD,-3,00000000,0,00000000,0,00000000,0,00000000,0,00000000,0,7D69A480,Uth Duna's Cover,9686CF00,Lord's Favor,7D946580,Peak Performance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000045,69,35C7D29E-1A5B-427C-82A2-AA59A4CF2D8C,Ingot Helm,00000000,HELM,00000008,Ingot,00000010,16,FFFFFFFE,-2,00000000,0,00000003,3,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,50462980,Divine Blessing,00000001,1,00000000,,00000000,,00000000,,00000000,
00000046,70,178BE018-E839-4532-8324-8D35552F3904,Ingot Mail,00000001,BODY,00000008,Ingot,00000010,16,FFFFFFFE,-2,00000000,0,00000003,3,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,CA9ABE00,Windproof,00000001,1,00000000,,00000000,,00000000,,00000000,
00000047,71,48262ED4-3E75-43A6-9631-DFD574F42E2C,Ingot Vambraces,00000002,ARM,00000008,Ingot,00000010,16,FFFFFFFE,-2,00000000,0,00000003,3,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,2A0A4AC0,Stun Resistance,00000001,1,00000000,,00000000,,00000000,,00000000,
00000048,72,874BDEF4-5BDC-464F-8FFC-A5700CEA86FD,Ingot Coil,00000003,WAIST,00000008,Ingot,00000010,16,FFFFFFFE,-2,00000000,0,00000003,3,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,50462980,Divine Blessing,00000001,1,00000000,,00000000,,00000000,,00000000,
00000049,73,57B648A6-89D2-4995-A5FC-5064513E60A8,Ingot Greaves,00000004,LEG,00000008,Ingot,00000010,16,FFFFFFFE,-2,00000000,0,00000003,3,FFFFFFFF,-1,00000000,0,00000000,0,00000000,0,00000000,0,00000000,,00000000,,CA9ABE00,Windproof,00000001,1,00000000,,00000000,,00000000,,00000000,
