Index Raw,Index,Recipe Number Raw,Recipe Number,Series Raw,Series,Armour Type Raw,Type,Key Item Raw,Key Item,Key Enemy Raw,Key Enemy,Key Story,HR Flag Raw,HR Flag,Time Rank Raw,Time Rank,Item 1 Raw,Item 2 Raw,Item 3 Raw,Item 4 Raw,ItemNum 1 Raw,ItemNum 2 Raw,ItemNum 3 Raw,ItemNum 4 Raw,Item 1,Number 1,Item 2,Number 2,Item 3,Number 3,Item 4,Number 4
0000000B,11,00004E24,20004,00000004,Chainmail,00000001,BODY,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
0000000C,12,00007534,30004,00000004,Chainmail,00000002,ARM,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
0000000D,13,00009C44,40004,00000004,Chainmail,00000003,WAIST,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
0000000E,14,0000C354,50004,00000004,Chainmail,00000004,LEG,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,0,,0,,0,,0
0000000F,15,00002715,10005,00000005,Bone,00000000,HELM,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,0000003A,00000000,00000000,00000000,00000001,00000000,00000000,00000000,Mystery Bone,1,,0,,0,,0
00000010,16,00004E25,20005,00000005,Bone,00000001,BODY,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,0000003A,00000000,00000000,00000000,00000001,00000000,00000000,00000000,Mystery Bone,1,,0,,0,,0
00000011,17,00007535,30005,00000005,Bone,00000002,ARM,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,0000003A,00000000,00000000,00000000,00000001,00000000,00000000,00000000,Mystery Bone,1,,0,,0,,0
00000012,18,00009C45,40005,00000005,Bone,00000003,WAIST,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,0000003A,00000000,00000000,00000000,00000001,00000000,00000000,00000000,Mystery Bone,1,,0,,0,,0
00000013,19,0000C355,50005,00000005,Bone,00000004,LEG,00000000,,00000000,-,00000000,00000000,0,00000000,NONE,0000003A,00000000,00000000,00000000,00000001,00000000,00000000,00000000,Mystery Bone,1,,0,,0,,0
00000014,20,0000271C,10012,0000000C,Bulaqchi,00000000,HELM,00000000,,0441EAD8,Bulaqchi,00000000,00000000,0,00000000,NONE,0000005E,00000000,00000000,00000000,00000002,00000000,00000000,00000000,Bulaqchi Shell,2,,0,,0,,0
00000015,21,0000753B,30011,0000000B,Talioth,00000002,ARM,00000000,,00000022,Talioth,00000000,00000000,0,00000000,NONE,0000005F,00000060,00000000,00000000,00000001,00000001,00000000,00000000,Talioth Scale,1,Sharp Fang,1,,0,,0
00000016,22,47C7F690,1204287120,47C7CF80,Chatacabra,00000000,HELM,00000000,,00000021,Chatacabra,00000000,00000000,0,00000000,NONE,00000057,00000054,00000000,00000000,00000002,00000001,00000000,00000000,Chatacabra Scale,2,Chatacabra Jaw,1,,0,,0
00000017,23,47C81DA0,1204297120,47C7CF80,Chatacabra,00000001,BODY,00000000,,00000021,Chatacabra,00000000,00000000,0,00000000,NONE,00000057,00000055,00000056,00000000,00000002,00000002,00000001,00000000,Chatacabra Scale,2,Chatacabra Hide,2,Chatacabra Shell,1,,0
00000018,24,47C844B0,1204307120,47C7CF80,Chatacabra,00000002,ARM,00000000,,00000021,Chatacabra,00000000,00000000,0,00000000,NONE,00000055,00000056,00000000,00000000,00000002,00000001,00000000,00000000,Chatacabra Hide,2,Chatacabra Shell,1,,0,,0
00000019,25,47C86BC0,1204317120,47C7CF80,Chatacabra,00000003,WAIST,00000000,,00000021,Chatacabra,00000000,00000000,0,00000000,NONE,00000124,00000057,00000054,00000060,00000001,00000002,00000001,00000001,Chatacabra Certificate,1,Chatacabra Scale,2,Chatacabra Jaw,1,Sharp Fang,1
0000001A,26,47C892D0,1204327120,47C7CF80,Chatacabra,00000004,LEG,00000000,,00000021,Chatacabra,00000000,00000000,0,00000000,NONE,00000054,00000056,0000003A,00000000,00000001,00000001,00000001,00000000,Chatacabra Jaw,1,Chatacabra Shell,1,Mystery Bone,1,,0
0000001B,27,8242BC90,-2109555568,82429580,Quematrice,00000000,HELM,00000000,,FDEAE550,Quematrice,00000000,00000000,0,00000000,NONE,0000012C,0000005B,0000012B,00000035,00000001,00000001,00000001,00000001,Quematrice Certificate,1,Quematrice Tail,1,Quematrice Igniter,1,Iron Ore,1
0000001C,28,8242E3A0,-2109545568,82429580,Quematrice,00000001,BODY,00000000,,FDEAE550,Quematrice,00000000,00000000,0,00000000,NONE,0000012B,0000005A,0000005B,00000000,00000001,00000001,00000001,00000000,Quematrice Igniter,1,Quematrice Crest,1,Quematrice Tail,1,,0
0000001D,29,82430AB0,-2109535568,82429580,Quematrice,00000002,ARM,00000000,,FDEAE550,Quematrice,00000000,00000000,0,00000000,NONE,00000058,0000012B,00000000,00000000,00000002,00000001,00000000,00000000,Quematrice Scale,2,Quematrice Igniter,1,,0,,0
0000001E,30,824331C0,-2109525568,82429580,Quematrice,00000003,WAIST,00000000,,FDEAE550,Quematrice,00000000,00000000,0,00000000,NONE,00000059,0000005A,00000000,00000000,00000002,00000001,00000000,00000000,Quematrice Hide,2,Quematrice Crest,1,,0,,0
0000001F,31,824358D0,-2109515568,82429580,Quematrice,00000004,LEG,00000000,,FDEAE550,Quematrice,00000000,00000000,0,00000000,NONE,00000058,00000059,0000005A,00000000,00000002,00000002,00000001,00000000,Quematrice Scale,2,Quematrice Hide,2,Quematrice Crest,1,,0
00000020,32,00002717,10007,00000007,Alloy,00000000,HELM,00000000,,00000000,-,E00F49A0,00000000,0,00000000,NONE,00000036,00000035,00000000,00000000,00000001,00000001,00000000,00000000,Machalite Ore,1,Iron Ore,1,,0,,0
00000021,33,00004E27,20007,00000007,Alloy,00000001,BODY,00000000,,00000000,-,E00F49A0,00000000,0,00000000,NONE,00000036,00000035,00000000,00000000,00000001,00000001,00000000,00000000,Machalite Ore,1,Iron Ore,1,,0,,0
00000022,34,00007537,30007,00000007,Alloy,00000002,ARM,00000000,,00000000,-,E00F49A0,00000000,0,00000000,NONE,00000036,00000035,00000000,00000000,00000001,00000001,00000000,00000000,Machalite Ore,1,Iron Ore,1,,0,,0
00000023,35,00009C47,40007,00000007,Alloy,00000003,WAIST,00000000,,00000000,-,E00F49A0,00000000,0,00000000,NONE,00000036,00000039,00000000,00000000,00000001,00000001,00000000,00000000,Machalite Ore,1,Earth Crystal,1,,0,,0
00000024,36,0000C357,50007,00000007,Alloy,00000004,LEG,00000000,,00000000,-,E00F49A0,00000000,0,00000000,NONE,00000036,00000039,00000000,00000000,00000001,00000001,00000000,00000000,Machalite Ore,1,Earth Crystal,1,,0,,0
00000025,37,69486E50,1766354512,6947AB00,Piragill,00000004,LEG,00000000,,FDC33884,Piragill,00000000,00000000,0,00000000,NONE,000001ED,00000036,00000000,00000000,00000001,00000001,00000000,00000000,Piragill Fin,1,Machalite Ore,1,,0,,0
00000026,38,934D1910,-1823663856,934CF200,Vespoid,00000000,HELM,00000000,,229E3700,Vespoid,00000000,00000000,0,00000000,NONE,0000023D,0000003A,00000000,00000000,00000001,00000001,00000000,00000000,Vespoid Shell,1,Mystery Bone,1,,0,,0
00000027,39,934D4020,-1823653856,934CF200,Vespoid,00000001,BODY,00000000,,229E3700,Vespoid,00000000,00000000,0,00000000,NONE,0000023D,0000003A,00000000,00000000,00000001,00000001,00000000,00000000,Vespoid Shell,1,Mystery Bone,1,,0,,0
00000028,40,934D6730,-1823643856,934CF200,Vespoid,00000002,ARM,00000000,,229E3700,Vespoid,00000000,00000000,0,00000000,NONE,0000023D,0000023F,00000000,00000000,00000001,00000001,00000000,00000000,Vespoid Shell,1,Vespoid Wing,1,,0,,0
00000029,41,934D8E40,-1823633856,934CF200,Vespoid,00000003,WAIST,00000000,,229E3700,Vespoid,00000000,00000000,0,00000000,NONE,0000023D,000001E9,00000000,00000000,00000001,00000001,00000000,00000000,Vespoid Shell,1,Monster Fluid,1,,0,,0
0000002A,42,934DB550,-1823623856,934CF200,Vespoid,00000004,LEG,00000000,,229E3700,Vespoid,00000000,00000000,0,00000000,NONE,0000023D,0000023F,00000000,00000000,00000001,00000001,00000000,00000000,Vespoid Shell,1,Vespoid Wing,1,,0,,0
0000002B,43,C9C42ED0,-909889840,C9C36B80,Gajau,00000004,LEG,00000266,Gajau Hide,00000000,-,00000000,00000000,0,00000000,NONE,00000266,00000000,00000000,00000000,00000001,00000000,00000000,00000000,Gajau Hide,1,,0,,0,,0
0000002C,44,FE85447C,-24820612,FE851D6C,Lala Barina,00000000,HELM,00000000,,A4DDE380,Lala Barina,00000000,00000000,0,00000000,NONE,00000115,0000025B,00000000,00000000,00000002,00000001,00000000,00000000,Lala Barina Floret,2,Lala Barina Mucus,1,,0,,0
0000002D,45,FE856B8C,-24810612,FE851D6C,Lala Barina,00000001,BODY,00000000,,A4DDE380,Lala Barina,00000000,00000000,0,00000000,NONE,00000115,00000111,00000113,00000000,00000002,00000002,00000001,00000000,Lala Barina Floret,2,Lala Barina Shell,2,Lala Barina Stinger,1,,0
0000002E,46,FE85929C,-24800612,FE851D6C,Lala Barina,00000002,ARM,00000000,,A4DDE380,Lala Barina,00000000,00000000,0,00000000,NONE,00000111,00000112,00000000,00000000,00000002,00000001,00000000,00000000,Lala Barina Shell,2,Lala Barina Claw,1,,0,,0
0000002F,47,FE85B9AC,-24790612,FE851D6C,Lala Barina,00000003,WAIST,00000000,,A4DDE380,Lala Barina,00000000,00000000,0,00000000,NONE,0000025B,00000112,00000113,00000000,00000001,00000001,00000001,00000000,Lala Barina Mucus,1,Lala Barina Claw,1,Lala Barina Stinger,1,,0
00000030,48,FE85E0BC,-24780612,FE851D6C,Lala Barina,00000004,LEG,00000000,,A4DDE380,Lala Barina,00000000,00000000,0,00000000,NONE,00000114,00000115,0000025B,000001E9,00000001,00000002,00000001,00000001,Lala Barina Certificate,1,Lala Barina Floret,2,Lala Barina Mucus,1,Monster Fluid,1
00000031,49,281598D0,672504016,281571C0,Conga,00000000,HELM,00000000,,AA284680,Congalala,00000000,00000000,0,00000000,NONE,000001F9,000001FB,00000000,00000000,00000002,00000001,00000000,00000000,Congalala Claw,2,Vibrant Pelt,1,,0,,0
00000032,50,2815BFE0,672514016,281571C0,Conga,00000001,BODY,00000000,,AA284680,Congalala,00000000,00000000,0,00000000,NONE,000001F8,000001F9,000001FB,00000000,00000002,00000001,00000001,00000000,Congalala Pelt,2,Congalala Claw,1,Vibrant Pelt,1,,0
00000033,51,2815E6F0,672524016,281571C0,Conga,00000002,ARM,00000000,,AA284680,Congalala,00000000,00000000,0,00000000,NONE,000001FA,000001FB,00000036,00000000,00000001,00000001,00000001,00000000,Congalala Fang,1,Vibrant Pelt,1,Machalite Ore,1,,0
00000034,52,28160E00,672534016,281571C0,Conga,00000003,WAIST,00000000,,AA284680,Congalala,00000000,00000000,0,00000000,NONE,000001F8,000001FA,00000000,00000000,00000002,00000001,00000000,00000000,Congalala Pelt,2,Congalala Fang,1,,0,,0
00000035,53,28163510,672544016,281571C0,Conga,00000004,LEG,00000000,,AA284680,Congalala,00000000,00000000,0,00000000,NONE,000001FC,000001F8,000001FA,0000023B,00000001,00000001,00000001,00000001,Congalala Certificate,1,Congalala Pelt,1,Congalala Fang,1,Conga Pelt,1
00000036,54,6545D410,1699075088,6545AD00,Balahara,00000000,HELM,00000000,,00000010,Balahara,00000000,00000000,0,00000000,NONE,00000051,00000052,00000000,00000000,00000002,00000001,00000000,00000000,Balahara Scale,2,Balahara Skull,1,,0,,0
00000037,55,6545FB20,1699085088,6545AD00,Balahara,00000001,BODY,00000000,,00000010,Balahara,00000000,00000000,0,00000000,NONE,00000051,00000050,00000053,00000000,00000002,00000001,00000001,00000000,Balahara Scale,2,Balahara Shell,1,Balahara Tail,1,,0
00000038,56,65462230,1699095088,6545AD00,Balahara,00000002,ARM,00000000,,00000010,Balahara,00000000,00000000,0,00000000,NONE,00000052,00000053,00000253,00000000,00000001,00000001,00000001,00000000,Balahara Skull,1,Balahara Tail,1,Aqua Sac,1,,0
00000039,57,65464940,1699105088,6545AD00,Balahara,00000003,WAIST,00000000,,00000010,Balahara,00000000,00000000,0,00000000,NONE,00000137,00000051,00000050,000002C0,00000001,00000002,00000001,00000001,Balahara Certificate,1,Balahara Scale,2,Balahara Shell,1,Balahara Black Pearl,1
0000003A,58,65467050,1699115088,6545AD00,Balahara,00000004,LEG,00000000,,00000010,Balahara,00000000,00000000,0,00000000,NONE,00000050,00000052,00000000,00000000,00000002,00000001,00000000,00000000,Balahara Shell,2,Balahara Skull,1,,0,,0
0000003B,59,990CE210,-1727208944,990CBB00,Doshaguma,00000000,HELM,00000000,,0000000F,Doshaguma,00000000,00000000,0,00000000,NONE,00000022,00000021,00000024,0000005D,00000002,00000002,00000001,00000001,Doshaguma Fur,2,Doshaguma Hide,2,Doshaguma Fang,1,Herbivore Shell,1
0000003C,60,990D0920,-1727198944,990CBB00,Doshaguma,00000001,BODY,00000000,,0000000F,Doshaguma,00000000,00000000,0,00000000,NONE,00000022,00000023,00000000,00000000,00000002,00000001,00000000,00000000,Doshaguma Fur,2,Doshaguma Claw,1,,0,,0
0000003D,61,990D3030,-1727188944,990CBB00,Doshaguma,00000002,ARM,00000000,,0000000F,Doshaguma,00000000,00000000,0,00000000,NONE,00000021,00000024,00000000,00000000,00000002,00000001,00000000,00000000,Doshaguma Hide,2,Doshaguma Fang,1,,0,,0
0000003E,62,990D5740,-1727178944,990CBB00,Doshaguma,00000003,WAIST,00000000,,0000000F,Doshaguma,00000000,00000000,0,00000000,NONE,00000023,00000024,0000003B,00000000,00000001,00000002,00000001,00000000,Doshaguma Claw,1,Doshaguma Fang,2,Sturdy Bone,1,,0
0000003F,63,990D7E50,-1727168944,990CBB00,Doshaguma,00000004,LEG,00000000,,0000000F,Doshaguma,00000000,00000000,0,00000000,NONE,0000013C,00000022,00000023,0000003C,00000001,00000002,00000001,00000001,Doshaguma Certificate,1,Doshaguma Fur,2,Doshaguma Claw,1,Brute Bone,1
00000040,64,00002718,10008,00000008,Ingot,00000000,HELM,00000000,,00000000,-,86FD6D00,00000000,0,00000000,NONE,00000037,00000036,00000000,00000000,00000001,00000001,00000000,00000000,Dragonite Ore,1,Machalite Ore,1,,0,,0
00000041,65,00004E28,20008,00000008,Ingot,00000001,BODY,00000000,,00000000,-,86FD6D00,00000000,0,00000000,NONE,00000037,00000039,00000000,00000000,00000001,00000001,00000000,00000000,Dragonite Ore,1,Earth Crystal,1,,0,,0
00000042,66,00007538,30008,00000008,Ingot,00000002,ARM,00000000,,00000000,-,86FD6D00,00000000,0,00000000,NONE,00000037,00000036,00000000,00000000,00000001,00000001,00000000,00000000,Dragonite Ore,1,Machalite Ore,1,,0,,0
00000043,67,00009C48,40008,00000008,Ingot,00000003,WAIST,00000000,,00000000,-,86FD6D00,00000000,0,00000000,NONE,00000037,00000039,00000000,00000000,00000001,00000001,00000000,00000000,Dragonite Ore,1,Earth Crystal,1,,0,,0
00000044,68,0000C358,50008,00000008,Ingot,00000004,LEG,00000000,,00000000,-,86FD6D00,00000000,0,00000000,NONE,00000037,00000244,00000000,00000000,00000001,00000001,00000000,00000000,Dragonite Ore,1,Firestone,1,,0,,0
00000045,69,B54986A0,-1253472608,B5493880,Kranodath,00000001,BODY,00000000,,416B3480,Kranodath,00000000,00000000,0,00000000,NONE,000001F0,0000024A,00000000,00000000,00000001,00000001,00000000,00000000,Kranodath Skull,1,Charred Oilbone,1,,0,,0
00000046,70,79E79E90,2045222544,79E77780,Rompopolo,00000000,HELM,00000000,,21D55200,Rompopolo,00000000,00000000,0,00000000,NONE,00000150,00000151,00000153,00000000,00000002,00000001,00000001,00000000,Rompopolo Hide,2,Rompopolo Claw,1,Rompopolo Beak,1,,0
00000047,71,79E7C5A0,2045232544,79E77780,Rompopolo,00000001,BODY,00000000,,21D55200,Rompopolo,00000000,00000000,0,00000000,NONE,00000150,00000152,00000000,00000000,00000002,00000001,00000000,00000000,Rompopolo Hide,2,Spotted Poison Hide,1,,0,,0
00000048,72,79E7ECB0,2045242544,79E77780,Rompopolo,00000002,ARM,00000000,,21D55200,Rompopolo,00000000,00000000,0,00000000,NONE,00000152,00000153,00000259,00000000,00000001,00000001,00000001,00000000,Spotted Poison Hide,1,Rompopolo Beak,1,Poison Sac,1,,0
00000049,73,79E813C0,2045252544,79E77780,Rompopolo,00000003,WAIST,00000000,,21D55200,Rompopolo,00000000,00000000,0,00000000,NONE,00000154,00000150,00000152,00000037,00000001,00000002,00000001,00000001,Rompopolo Certificate,1,Rompopolo Hide,2,Spotted Poison Hide,1,Dragonite Ore,1
0000004A,74,79E83AD0,2045262544,79E77780,Rompopolo,00000004,LEG,00000000,,21D55200,Rompopolo,00000000,00000000,0,00000000,NONE,00000151,00000153,00000000,00000000,00000002,00000001,00000000,00000000,Rompopolo Claw,2,Rompopolo Beak,1,,0,,0
0000004B,75,18DBE650,417064528,18DBBF40,Comaqchi,00000000,HELM,00000000,,3150F500,Comaqchi,00000000,00000000,0,00000000,NONE,000001F2,00000000,00000000,00000000,00000002,00000000,00000000,00000000,Comaqchi Shell,2,,0,,0,,0
0000004C,76,292EB050,690925648,292E8940,Nerscylla,00000000,HELM,00000000,,AEBC9E00,Nerscylla,00000000,00000000,0,00000000,NONE,00000205,00000210,00000202,0000025D,00000001,00000001,00000001,00000001,Nerscylla Certificate,1,Rubbery Hide,1,Nerscylla Chelicera,1,Sleep Sac,1
0000004D,77,292ED760,690935648,292E8940,Nerscylla,00000001,BODY,00000000,,AEBC9E00,Nerscylla,00000000,00000000,0,00000000,NONE,00000203,00000204,00000000,00000000,00000002,00000001,00000000,00000000,Nerscylla Claw,2,Nerscylla Spike,1,,0,,0
0000004E,78,292EFE70,690945648,292E8940,Nerscylla,00000002,ARM,00000000,,AEBC9E00,Nerscylla,00000000,00000000,0,00000000,NONE,00000201,00000203,00000204,00000000,00000002,00000001,00000001,00000000,Nerscylla Shell,2,Nerscylla Claw,1,Nerscylla Spike,1,,0
0000004F,79,292F2580,690955648,292E8940,Nerscylla,00000003,WAIST,00000000,,AEBC9E00,Nerscylla,00000000,00000000,0,00000000,NONE,00000202,00000204,00000210,00000000,00000001,00000001,00000001,00000000,Nerscylla Chelicera,1,Nerscylla Spike,1,Rubbery Hide,1,,0
00000050,80,292F4C90,690965648,292E8940,Nerscylla,00000004,LEG,00000000,,AEBC9E00,Nerscylla,00000000,00000000,0,00000000,NONE,00000201,00000202,00000000,00000000,00000002,00000001,00000000,00000000,Nerscylla Shell,2,Nerscylla Chelicera,1,,0,,0
00000051,81,8DC65810,-1916381168,8DC63100,Hirabami,00000000,HELM,00000000,,0D49B3C0,Hirabami,00000000,00000000,0,00000000,NONE,00000163,00000164,00000257,00000000,00000001,00000001,00000001,00000000,Hirabami Webbing,1,Hirabami Tail Claw,1,Frost Sac,1,,0
00000052,82,8DC67F20,-1916371168,8DC63100,Hirabami,00000001,BODY,00000000,,0D49B3C0,Hirabami,00000000,00000000,0,00000000,NONE,00000162,00000164,00000000,00000000,00000002,00000001,00000000,00000000,Hirabami Hide,2,Hirabami Tail Claw,1,,0,,0
00000053,83,8DC6A630,-1916361168,8DC63100,Hirabami,00000002,ARM,00000000,,0D49B3C0,Hirabami,00000000,00000000,0,00000000,NONE,00000161,00000163,00000000,00000000,00000002,00000001,00000000,00000000,Hirabami Scale,2,Hirabami Webbing,1,,0,,0
00000054,84,8DC6CD40,-1916351168,8DC63100,Hirabami,00000003,WAIST,00000000,,0D49B3C0,Hirabami,00000000,00000000,0,00000000,NONE,00000161,00000162,00000164,00000000,00000002,00000001,00000001,00000000,Hirabami Scale,2,Hirabami Hide,1,Hirabami Tail Claw,1,,0
00000055,85,8DC6F450,-1916341168,8DC63100,Hirabami,00000004,LEG,00000000,,0D49B3C0,Hirabami,00000000,00000000,0,00000000,NONE,00000165,00000161,00000163,0000024B,00000001,00000002,00000001,00000001,Hirabami Certificate,1,Hirabami Scale,2,Hirabami Webbing,1,Frozen Icebone,1
00000056,86,4AC4CF10,1254412048,4AC4A800,Ajarakan,00000000,HELM,00000000,,2E571C80,Ajarakan,00000000,00000000,0,00000000,NONE,00000171,0000016E,0000016F,00000170,00000001,00000001,00000001,00000001,Ajarakan Certificate,1,Ajarakan Tail,1,Ajarakan Jewel,1,Ajarakan Marrow,1
00000057,87,4AC4F620,1254422048,4AC4A800,Ajarakan,00000001,BODY,00000000,,2E571C80,Ajarakan,00000000,00000000,0,00000000,NONE,0000016B,0000016F,00000000,00000000,00000002,00000001,00000000,00000000,Ajarakan Scale,2,Ajarakan Jewel,1,,0,,0
00000058,88,4AC51D30,1254432048,4AC4A800,Ajarakan,00000002,ARM,00000000,,2E571C80,Ajarakan,00000000,00000000,0,00000000,NONE,0000016B,0000016C,0000016D,00000000,00000002,00000002,00000001,00000000,Ajarakan Scale,2,Ajarakan Shell,2,Ajarakan Ridge,1,,0
00000059,89,4AC54440,1254442048,4AC4A800,Ajarakan,00000003,WAIST,00000000,,2E571C80,Ajarakan,00000000,00000000,0,00000000,NONE,0000016C,0000016D,00000000,00000000,00000002,00000001,00000000,00000000,Ajarakan Shell,2,Ajarakan Ridge,1,,0,,0
0000005A,90,4AC56B50,1254452048,4AC4A800,Ajarakan,00000004,LEG,00000000,,2E571C80,Ajarakan,00000000,00000000,0,00000000,NONE,0000016F,0000016D,0000016E,00000000,00000001,00000001,00000001,00000000,Ajarakan Jewel,1,Ajarakan Ridge,1,Ajarakan Tail,1,,0
0000005B,91,A2BA7340,-1564839104,A2B9D700,Guardian Seikret,00000003,WAIST,00000000,,00000000,-,D9C1E4C0,00000000,0,00000000,NONE,000001F6,0000024C,00000000,00000000,00000002,00000001,00000000,00000000,Guardian Seikret Feather,2,Tough Guardian Bone,1,,0,,0
0000005C,92,EF2200D0,-282984240,EF21D9C0,Uth Duna,00000000,HELM,00000000,,00000000,-,D9C1E4C0,00000000,0,00000000,NONE,00000148,00000142,00000147,0000025F,00000001,00000002,00000001,00000001,Uth Duna Certificate,1,Uth Duna Scale,2,Uth Duna Plate,1,Guardian Blood,1
0000005D,93,EF2227E0,-282974240,EF21D9C0,Uth Duna,00000001,BODY,00000000,,00000000,-,D9C1E4C0,00000000,0,00000000,NONE,00000144,00000145,00000146,000001C6,00000001,00000001,00000002,00000001,Uth Duna Cilia,1,Uth Duna Tentacle,1,Uth Duna Claw,2,Guardian Scale,1
0000005E,94,EF224EF0,-282964240,EF21D9C0,Uth Duna,00000002,ARM,00000000,,00000000,-,D9C1E4C0,00000000,0,00000000,NONE,00000143,00000145,00000298,00000000,00000002,00000001,00000001,00000000,Uth Duna Hide,2,Uth Duna Tentacle,1,Guardian Pelt,1,,0
0000005F,95,EF227600,-282954240,EF21D9C0,Uth Duna,00000003,WAIST,00000000,,00000000,-,97DC3400,00000000,0,00000000,NONE,00000142,00000144,00000000,00000000,00000002,00000001,00000000,00000000,Uth Duna Scale,2,Uth Duna Cilia,1,,0,,0
00000060,96,EF229D10,-282944240,EF21D9C0,Uth Duna,00000004,LEG,00000000,,00000000,-,97DC3400,00000000,0,00000000,NONE,00000142,00000143,00000146,00000000,00000002,00000002,00000001,00000000,Uth Duna Scale,2,Uth Duna Hide,2,Uth Duna Claw,1,,0
00000061,97,C6074B50,-972600496,C6072440,Rey Dau,00000000,HELM,00000000,,A3C51700,Rey Dau,00000000,00000000,0,00000000,NONE,0000008B,0000008C,0000008D,00000000,00000002,00000002,00000001,00000000,Rey Dau Scale,2,Rey Dau Shell,2,Rey Dau Thunderhorn,1,,0
00000062,98,C6077260,-972590496,C6072440,Rey Dau,00000001,BODY,00000000,,A3C51700,Rey Dau,00000000,00000000,0,00000000,NONE,0000008B,0000008E,00000000,00000000,00000002,00000001,00000000,00000000,Rey Dau Scale,2,Rey Dau Wingtalon,1,,0,,0
00000063,99,C6079970,-972580496,C6072440,Rey Dau,00000002,ARM,00000000,,00000000,-,D9C1E4C0,00000000,0,00000000,NONE,0000008E,0000008D,0000008F,000001C6,00000001,00000001,00000001,00000001,Rey Dau Wingtalon,1,Rey Dau Thunderhorn,1,Rey Dau Tail,1,Guardian Scale,1
00000064,100,C607C080,-972570496,C6072440,Rey Dau,00000003,WAIST,00000000,,00000000,-,D9C1E4C0,00000000,0,00000000,NONE,0000008C,0000008D,00000298,00000061,00000002,00000001,00000001,00000001,Rey Dau Shell,2,Rey Dau Thunderhorn,1,Guardian Pelt,1,Wingdrake Hide,1
00000065,101,C607E790,-972560496,C6072440,Rey Dau,00000004,LEG,00000000,,00000000,-,D9C1E4C0,00000000,0,00000000,NONE,0000015A,0000008F,00000090,0000025F,00000001,00000001,00000001,00000001,Rey Dau Certificate,1,Rey Dau Tail,1,Rey Dau Plate,1,Guardian Blood,1
