Index Raw,Index,Recipe Number Raw,Recipe Number,ID Raw,ID,Name,Uprades From,Key Item Raw,Key Item,Key Monster Raw,Key Monster,Key Story,Item 1 Raw,Item 1,Number 1 Raw,Number 1,Item 2 Raw,Item 2,Number 2 Raw,Number 2,Item 3 Raw,Item 3,Number 3 Raw,Number 3,Item 4 Raw,Item 4,Number 4 Raw,Number 4,Can Shortcut Raw,Can Shortcut
0000001D,29,0000001D,29,0000001C,28,Sandsea Uchaltiya,Balahara Glaive IV,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000138,Balahara Scale+,00000006,6,0000014E,Uth Duna Watergem,00000001,1,00000000,,00000000,,00000000,FALSE
0000001E,30,0000001E,30,0000001D,29,Rey Halilintar I,,00000000,,A3C51700,Rey Dau,00000000,0000008B,Rey Dau Scale,00000003,3,0000008E,Rey Dau Wingtalon,00000002,2,0000008D,Rey Dau Thunderhorn,00000001,1,00000000,,00000000,,00000000,FALSE
0000001F,31,0000001F,31,0000001E,30,Rey Halilintar II,Rey Halilintar I,00000000,,0000001A,Rathian,00000000,00000218,Rathian Certificate S,00000002,2,00000068,Rathian Webbing,00000003,3,00000243,Novacrystal,00000001,1,00000000,,00000000,,00000000,FALSE
00000020,32,00000020,32,0000001F,31,Rey Halilintar III,Rey Halilintar II,00000160,Rey Dau Certificate S,00000000,-,00000000,00000160,Rey Dau Certificate S,00000003,3,0000015E,Rey Dau Fulgurtalon,00000004,4,0000008F,Rey Dau Tail,00000001,1,00000090,Rey Dau Plate,00000001,1,00000000,FALSE
00000021,33,00000021,33,00000020,32,Halilintar Clairglaive,Rey Halilintar III,00000000,,2C864480,Arkveld,00000000,00000295,Hunter Symbol III,00000005,5,0000015C,Rey Dau Carapace,00000006,6,0000015D,Rey Dau Bolthorn,00000004,4,0000015F,Rey Dau Boltgem,00000001,1,00000000,FALSE
00000022,34,00000022,34,00000021,33,Stealth Glaive I,,00000000,,AEBC9E00,Nerscylla,00000000,00000201,Nerscylla Shell,00000003,3,00000203,Nerscylla Claw,00000002,2,0000025D,Sleep Sac,00000001,1,00000000,,00000000,,00000000,FALSE
00000023,35,00000023,35,00000022,34,Stealth Glaive II,Stealth Glaive I,00000209,Nerscylla Certificate S,00000000,-,00000000,00000209,Nerscylla Certificate S,00000001,1,00000207,Nerscylla Claw+,00000003,3,0000025E,Coma Sac,00000003,3,00000000,,00000000,,00000000,FALSE
00000024,36,00000024,36,00000023,35,Stealth Glaive III,Stealth Glaive II,000001A9,Jin Dahaad Certificate S,00000000,-,00000000,000001A9,Jin Dahaad Certificate S,00000003,3,00000208,Nerscylla Spike+,00000005,5,000001E0,Nerscylla Shear,00000002,2,000001EA,Monster Broth,00000003,3,00000000,FALSE
00000025,37,00000025,37,00000024,36,Stealth Glaive Redux,Stealth Glaive III,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000206,Nerscylla Carapace,00000006,6,00000216,Bird Wyvern Gem,00000001,1,00000000,,00000000,,00000000,FALSE
00000026,38,00000026,38,00000025,37,Ajara Trident I,,00000000,,2E571C80,Ajarakan,00000000,0000016B,Ajarakan Scale,00000003,3,0000016D,Ajarakan Ridge,00000002,2,0000016F,Ajarakan Jewel,00000001,1,00000000,,00000000,,00000000,FALSE
00000027,39,00000027,39,00000026,38,Ajara Trident II,Ajara Trident I,00000177,Ajarakan Certificate S,00000000,-,00000000,00000177,Ajarakan Certificate S,00000002,2,00000174,Ajarakan Ridge+,00000003,3,00000175,Ajarakan Jewel+,00000002,2,00000170,Ajarakan Marrow,00000001,1,00000000,FALSE
00000028,40,00000028,40,00000027,39,Ajara-Bhadra,Ajara Trident II,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,00000173,Ajarakan Carapace,00000006,6,00000176,Ajarakan Medulla,00000001,1,00000000,,00000000,,00000000,FALSE
00000029,41,00000029,41,00000028,40,Guardian Rathmaul I,,00000000,,00000000,-,D9C1E4C0,00000190,Guardian Rathalos Scale,00000003,3,00000192,Guardian Rathalos Webbing,00000002,2,00000251,Flame Sac,00000001,1,00000000,,00000000,,00000000,FALSE
0000002A,42,0000002A,42,00000029,41,Guardian Rathmaul II,Guardian Rathmaul I,0000019A,G. Rathalos Certificate S,00000000,-,00000000,0000019A,G. Rathalos Certificate S,00000002,2,00000198,Guardian Rathalos Wing,00000005,5,000002C2,Guardian Rathalos Plate,00000001,1,00000260,Guardian Blood+,00000001,1,00000000,FALSE
0000002B,43,0000002B,43,0000002A,42,Alabaster Rathmaul,Guardian Rathmaul II,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,00000197,Guardian Rathalos Carapace,00000006,6,000002C1,Guardian Rathalos Ruby,00000001,1,000001C7,Guardian Scale+,00000006,6,00000000,FALSE
0000002C,44,0000002C,44,0000002B,43,Jin Dhachhad,,00000000,,00000000,-,0D846690,000001A9,Jin Dahaad Certificate S,00000001,1,000001A6,Jin Dahaad Claw+,00000005,5,000001A5,Jin Dahaad Iceplate,00000004,4,000002C3,Jin Dahaad Tail,00000001,1,00000000,FALSE
0000002D,45,0000002D,45,0000002C,44,Precipice Geumgel,Jin Dhachhad,00000000,,2C864480,Arkveld,00000000,00000295,Hunter Symbol III,00000005,5,000001A7,Jin Dahaad Horn,00000004,4,000001A4,Jin Dahaad Carapace,00000004,4,000001A8,Jin Dahaad Icegem,00000001,1,00000000,FALSE
0000002E,46,0000002E,46,0000002D,45,Chthonian Vajra I,,00000000,,632E9000,Guardian Ebony Odogaron,00000000,000001AA,Guardian Ebony Scale,00000003,3,000001AC,Guardian Ebony Claw,00000002,2,000001AD,Guardian Ebony Fang,00000001,1,00000000,,00000000,,00000000,FALSE
0000002F,47,0000002F,47,0000002E,46,Chthonian Vajra II,Chthonian Vajra I,000001B6,G. Ebony Odogaron Certificate S,00000000,-,00000000,000001B6,G. Ebony Odogaron Certificate S,00000002,2,000001B3,Guardian Ebony Claw+,00000006,6,000001AF,Guardian Ebony Plate,00000001,1,00000260,Guardian Blood+,00000001,1,00000001,TRUE
00000030,48,00000030,48,0000002F,47,Bequeathed Testament,Chthonian Vajra II,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,000001B4,Guardian Ebony Fang+,00000006,6,000001B5,Guardian Ebony Gem,00000001,1,000001C7,Guardian Scale+,00000006,6,00000000,FALSE
00000031,49,00000031,49,00000030,48,G. Veldian Trudis I,,00000000,,EF17C700,Guardian Arkveld,00000000,000001C6,Guardian Scale,00000003,3,00000298,Guardian Pelt,00000003,3,0000025F,Guardian Blood,00000001,1,0000024C,Tough Guardian Bone,00000002,2,00000000,FALSE
00000032,50,00000032,50,00000031,49,G. Veldian Trudis II,G. Veldian Trudis I,00000000,,00000000,-,85F88180,000001C7,Guardian Scale+,00000006,6,00000299,Guardian Pelt+,00000006,6,00000260,Guardian Blood+,00000003,3,0000003E,Dragonbone Relic,00000001,1,00000000,FALSE
00000033,51,00000033,51,00000032,50,G. Enduring Tor,G. Veldian Trudis II,00000000,,2C864480,Arkveld,00000000,00000295,Hunter Symbol III,00000005,5,000001CF,Arkveld Calloushell,00000004,4,000001C8,Arkveld Tail,00000002,2,000001D1,Arkveld Gem,00000001,1,00000000,FALSE
00000034,52,00000034,52,00000033,51,Kut-Ku Pike I,,00000000,,17F6E620,Yian Kut-Ku,00000000,0000020F,Yian Kut-Ku Certificate S,00000001,1,0000020E,Kut-Ku Wing,00000003,3,0000020C,Kut-Ku Ear,00000002,2,0000020A,Kut-Ku Scale+,00000005,5,00000000,FALSE
00000035,53,00000035,53,00000034,52,Kut-Ku Pike II,Kut-Ku Pike I,00000185,Nu Udra Certificate S,00000000,-,00000000,00000185,Nu Udra Certificate S,00000002,2,0000020D,Giant Beak,00000004,4,00000252,Inferno Sac,00000004,4,00000216,Bird Wyvern Gem,00000001,1,00000000,FALSE
00000036,54,00000036,54,00000035,53,Toucan Pike,Kut-Ku Pike II,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,0000020B,Kut-Ku Carapace,00000006,6,00000184,Nu Udra Flamegem,00000001,1,00000000,,00000000,,00000000,FALSE
00000037,55,00000037,55,00000036,54,Princess Regalia I,,00000000,,0000001A,Rathian,00000000,00000218,Rathian Certificate S,00000001,1,00000068,Rathian Webbing,00000003,3,00000069,Rathian Spike+,00000002,2,00000066,Rathian Scale+,00000005,5,00000000,FALSE
00000038,56,00000038,56,00000037,55,Princess Regalia II,Princess Regalia I,00000160,Rey Dau Certificate S,00000000,-,00000000,00000160,Rey Dau Certificate S,00000002,2,00000067,Rathian Carapace,00000006,6,0000019B,Rath Medulla,00000001,1,0000005C,Wyvern Gem,00000001,1,00000000,FALSE
00000039,57,00000039,57,00000038,56,Queen Regalia,Princess Regalia II,00000000,,2C864480,Arkveld,00000000,00000293,Hunter Symbol I,00000005,5,00000066,Rathian Scale+,00000005,5,0000006A,Rathian Ruby,00000001,1,00000000,,00000000,,00000000,FALSE
0000003A,58,0000003A,58,00000039,57,Rising Fulgur I,,00000000,,0663AA30,Guardian Fulgur Anjanath,00000000,00000248,Guardian Fulgur Certificate S,00000002,2,000001E3,Guardian Fulgur Fang+,00000005,5,000001E5,Guardian Fulgur Tail,00000001,1,00000256,Thunder Sac,00000004,4,00000000,FALSE
0000003B,59,0000003B,59,0000003A,58,Fulgurglaive Guardiana,Rising Fulgur I,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,000001E4,Guardian Fulgur Nosebone+,00000004,4,000001E2,Guardian Fulgur Pelt+,00000006,6,000001E6,Guardian Fulgur Gem,00000001,1,00000000,FALSE
0000003C,60,0000003C,60,0000003B,59,Blizzard Glaive I,,00000000,,7EEF1180,Blangonga,00000000,0000021D,Blangonga Certificate S,00000002,2,0000021A,Blangonga Fang+,00000005,5,0000021B,Blangonga Whisker,00000004,4,00000241,Blango Pelt+,00000004,4,00000000,FALSE
0000003D,61,0000003D,61,0000003C,60,Immaculate Blizzard,Blizzard Glaive I,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,00000219,Blangonga Pelt+,00000006,6,0000021C,Blangonga Tail,00000004,4,000001A8,Jin Dahaad Icegem,00000001,1,00000000,FALSE
0000003E,62,0000003E,62,0000003D,61,Graviafaren I,,00000000,,E01B5A00,Gravios,00000000,00000223,Gravios Certificate S,00000002,2,00000222,Gravios Wing,00000005,5,0000021F,Gravios Skull,00000003,3,00000220,Gravios Pleura+,00000004,4,00000000,FALSE
0000003F,63,0000003F,63,0000003E,62,Gravordius,Graviafaren I,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,0000021E,Gravios Carapace,00000006,6,00000221,Gravios Medulla,00000001,1,0000005C,Wyvern Gem,00000001,1,00000000,FALSE
00000040,64,00000040,64,00000041,65,Rathmaul I,,00000000,,75231300,Rathalos,00000000,00000231,Rathalos Certificate S,00000002,2,0000022D,Rathalos Carapace,00000005,5,0000022E,Rathalos Wing,00000004,4,0000019B,Rath Medulla,00000001,1,00000000,FALSE
00000041,65,00000041,65,00000042,66,Firedance Rathmaul,Rathmaul I,00000000,,2C864480,Arkveld,00000000,00000294,Hunter Symbol II,00000005,5,0000022C,Rathalos Scale+,00000006,6,0000022F,Rathalos Tail,00000001,1,00000230,Rathalos Ruby,00000001,1,00000000,FALSE
00000042,66,00000042,66,00000043,67,Leumundslist,,00000000,,D2CE02C0,Gore Magala,00000000,00000239,Gore Magala Certificate S,00000003,3,00000235,Gore Magala Ripclaw+,00000004,4,00000236,Gore Magala Tail,00000001,1,000001A2,Frenzy Shard,00000005,5,00000000,FALSE
00000043,67,00000043,67,00000044,68,Leumundsgift,Leumundslist,00000000,,2C864480,Arkveld,00000000,00000295,Hunter Symbol III,00000005,5,00000237,Gore Magala Feeler+,00000002,2,00000238,Gore Magala Nyctgem,00000001,1,0000023A,Frenzy Crystal,00000005,5,00000000,FALSE
00000044,68,00000044,68,00000045,69,Veldian Trudis I,,00000000,,2C864480,Arkveld,00000000,000001D2,Arkveld Certificate S,00000003,3,000001CB,Arkveld Scale+,00000004,4,000001CE,White Arkveld Pelt,00000002,2,0000005C,Wyvern Gem,00000001,1,00000000,FALSE
00000045,69,00000045,69,0000004B,75,Enduring Tor,Veldian Trudis I,00000000,,2C864480,Arkveld,00000000,00000295,Hunter Symbol III,00000005,5,000001CC,Arkveld Armorplate,00000005,5,000001D0,Arkveld Horn+,00000003,3,000001D1,Arkveld Gem,00000001,1,00000000,FALSE
